"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Sent Tweets (Twitter)","Sent Quote Tweets (Twitter)","Sent @Replies (Twitter)","Sent Direct Messages (Twitter)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (Twitter)","Received Direct Messages (Twitter)","Received Retweets (Twitter)","Received Quote Tweets (Twitter)","Received New Follower Alerts (Twitter)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Comments (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"08-08-2022","LinkedIn","LEEDS 2023","2,231","6","6","0","0","0","225","0","12","5.33%","1","0","0","11","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"08-09-2022","Twitter","'@LEEDS_2023","16,560","12","12","5","5","74","7,743","253","167","2.16%","65","3","1","6","","0","92","1","2","2","","","","","","","","","","","","","","","","","","","45","1","6","5","17","","","","","","","","","","","",""
"08-09-2022","Facebook","LEEDS 2023","3,678","2","2","1","1","1","301","30","12","3.99%","4","0","0","1","","7","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
"08-09-2022","Instagram","leeds2023","5,178","0","0","0","0","6","89","0","0","0%","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","","",""
"08-09-2022","LinkedIn","LEEDS 2023","2,237","7","7","0","0","0","216","0","13","6.02%","7","0","1","5","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"08-10-2022","Twitter","'@LEEDS_2023","16,576","16","16","4","4","63","9,600","107","207","2.16%","57","3","25","22","","0","100","1","1","2","","","","","","","","","","","","","","","","","","","15","","24","7","17","","","","","","","","","","","",""
"08-10-2022","Facebook","LEEDS 2023","3,679","1","1","1","1","2","352","17","13","3.69%","6","0","0","2","","5","","","","","","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","",""
"08-10-2022","Instagram","leeds2023","5,178","0","0","0","0","9","33","0","5","15.15%","5","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","","","1",""
"08-10-2022","LinkedIn","LEEDS 2023","2,245","9","9","0","0","0","226","0","5","2.21%","2","0","0","3","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"08-11-2022","Twitter","'@LEEDS_2023","16,585","9","9","5","5","39","6,864","9","122","1.78%","30","6","10","17","","0","59","1","1","3","","","","","","","","","","","","","","","","","","","8","","10","8","13","","","","","","","","","","","",""
"08-11-2022","Facebook","LEEDS 2023","3,683","4","4","1","1","2","1,332","7","50","3.75%","10","0","3","25","","12","","","","","","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","",""
"08-11-2022","Instagram","leeds2023","5,178","0","0","11","4","7","1,457","0","38","2.61%","36","0","","","2","","","","","","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","2","","7","4",""
"08-11-2022","LinkedIn","LEEDS 2023","2,253","7","7","0","0","0","229","0","16","6.99%","3","0","0","13","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
