datetime,postcode
2022-06-18T17:15:11Z,LS6 3ER
2022-06-18T17:15:06Z,LS6 3ER
2022-06-18T17:15:04Z,LS6 3QF
2022-06-18T17:14:47Z,LS6 3NX
2022-06-18T17:14:29Z,LS6
2022-06-18T17:13:33Z,LS6 4AF
2022-06-18T17:13:29Z,LS6 4AF
2022-06-18T17:13:26Z,HG1 2ED
2022-06-18T17:13:24Z,LS16 7JE
2022-06-18T17:12:29Z,LS6 3LE
2022-06-18T17:12:28Z,LS6 4BZ
2022-06-18T17:10:42Z,LS6 2BS
2022-06-18T17:10:31Z,LS6 3AD
2022-06-18T17:10:13Z,LS6 3JS
2022-06-18T17:10:07Z,LS6
2022-06-18T17:10:03Z,LS6 3DA
2022-06-18T17:10:02Z,LS6 2ER
2022-06-18T17:09:57Z,LS6 3JS
2022-06-18T17:06:28Z,LS6 3PZ
2022-06-18T17:05:13Z,LS6 3AG
2022-06-18T17:04:06Z,LS6 3FG
2022-06-18T17:01:11Z,LS5 3LF
2022-06-18T16:57:28Z,LS6 3RT
2022-06-18T16:54:07Z,LS6 3HB
2022-06-18T16:50:12Z,LS6 4DH
2022-06-18T16:14:03Z,LS5 6TR
2022-06-16T17:35:52Z,LS27 7EX
2022-06-16T17:31:39Z,LS14 1BL
2022-06-16T17:29:23Z,LS6 4DH
2022-06-16T16:09:12Z,LS8 3RR
2022-06-16T16:03:16Z,LS16 6AB
2022-06-16T16:01:59Z,LS7 4JU
2022-06-14T17:32:19Z,LS28 5BE
2022-06-14T17:31:03Z,LS28 5FW
2022-06-14T17:29:55Z,WF3 1JB
2022-06-14T17:28:25Z,LS28 5BR
2022-06-14T17:26:36Z,LS28 5EJ
2022-06-14T17:24:04Z,LS28 8JR
2022-06-14T17:23:40Z,LS28 7BT
2022-06-14T17:18:54Z,LS6 4QS
2022-06-14T17:15:52Z,LS13 1HP
2022-06-14T17:14:08Z,LS18 5AA
2022-06-14T17:13:15Z,LS13 3QD
2022-06-14T17:11:58Z,LS13 3EF
2022-06-14T17:09:41Z,LS13 1JX
2022-06-14T17:09:19Z,LS28 5UJ
2022-06-14T17:08:52Z,LS28 7DD
2022-06-14T17:05:43Z,LS28 5HD
2022-06-14T17:04:47Z,LS28 5HH
2022-06-14T17:04:45Z,LS28 5BY
2022-06-14T17:04:31Z,LS28 5HH
2022-06-14T17:03:02Z,LS13 3PB
2022-06-14T17:02:04Z,LS13 1BU
2022-06-14T17:01:42Z,LS13 1BU
2022-06-14T17:00:16Z,LS24 9JG
2022-06-14T16:58:40Z,LS13 1NG
2022-06-14T16:58:31Z,LS28 5JW
2022-06-14T16:57:43Z,LS28 5HD
2022-06-14T16:55:21Z,LS28 5TF
2022-06-10T17:37:07Z,LS21 2DP
2022-06-10T16:20:11Z,LS2 9JT
2022-06-10T16:05:02Z,LS21 1HT
2022-06-10T16:03:22Z,LS21 1HT
2022-06-06T17:57:47Z,LS18 4QE
2022-06-06T17:56:27Z,LS6 4AJ
2022-06-06T17:55:48Z,LS6 4EB
2022-06-06T17:54:39Z,LS16 7EP
2022-06-06T17:19:22Z,LS18 5QG
2022-06-06T17:17:13Z,LS16 7SB
2022-05-31T17:30:10Z,LS12 2DH
2022-05-31T17:18:18Z,LS7 4JT
2022-05-31T17:16:05Z,LS7 4LQ
2022-05-31T17:10:02Z,LS7 4LQ
2022-05-31T17:02:49Z,LS7 3DW
2022-05-31T17:01:23Z,LS7 3EX
2022-05-31T16:57:24Z,LS17 7DN
2022-05-31T16:56:52Z,LS7 4JT
2022-05-30T17:05:23Z,LS16 5PN
2022-05-30T16:33:06Z,LS12 1LA
2022-05-30T16:04:57Z,LS12 1QG
2022-05-30T16:03:40Z,LS12 1QG
2022-05-30T16:02:17Z,LS3 1JL
2022-05-30T15:54:40Z,L12 3JR
2022-05-27T17:00:59Z,LS10 1JP
2022-05-27T16:59:59Z,LS6 2DY
2022-05-27T16:59:52Z,LS9 8FU
2022-05-27T16:58:56Z,LS9 8FU
2022-05-24T19:29:57Z,LS10 4DD
2022-05-24T19:29:03Z,LS10 4AD
2022-05-24T19:28:03Z,LS18 4NP
2022-05-24T19:26:31Z,LS11 7ND
2022-05-24T19:25:20Z,LS28 9HP
2022-05-24T19:24:01Z,LS12 1NH
2022-05-24T19:22:18Z,LS10 4LA
2022-05-24T19:20:40Z,LS10 4PB
2022-05-24T19:16:43Z,LS10 4LZ
2022-05-24T19:15:19Z,LS9 6BE
2022-05-24T18:50:12Z,LS13 4JX
2022-05-24T18:49:42Z,LS11 6TN
2022-05-24T17:33:13Z,LS6 1QL
2022-05-24T17:33:07Z,LS10 2RE
2022-05-24T17:32:33Z,YO26 7PH
2022-05-24T17:32:22Z,LS3 1BX
2022-05-24T17:32:11Z,LS3 1BX
2022-05-24T17:10:29Z,LS11 6EF
2022-05-24T17:06:18Z,LS5 3EY
2022-05-24T17:05:10Z,LS6 4ES
2022-05-20T17:37:54Z,LS16 5LB
2022-05-20T17:30:51Z,LS6 4BS
2022-05-20T17:10:50Z,LS6 3LW
2022-05-20T17:10:39Z,LS6 1AD
2022-05-20T17:07:41Z,LS6 3PH
2022-05-20T17:03:14Z,LS6 2AY
2022-05-20T17:02:55Z,LS6 4BZ
2022-05-20T17:01:57Z,LS16 5JZ
2022-05-20T16:58:55Z,LS6 3HB
2022-05-20T16:57:48Z,YO24 2PX
2022-05-20T16:57:00Z,LS6 3QF
2022-05-20T16:54:50Z,LS6 4BS
2022-05-20T16:53:41Z,LS6 4BS
2022-05-18T18:11:26Z,LS7
2022-05-18T18:10:54Z,LS13
2022-05-18T17:27:29Z,LS13 3HS
2022-05-18T17:26:52Z,LS13 3HS
2022-05-18T17:23:37Z,LS6 3PD
2022-05-18T17:22:14Z,LS17 8BA
2022-05-18T17:20:13Z,LS16 6HY
2022-05-18T17:18:22Z,LS13 1PU
2022-05-18T17:16:35Z,LS13 1PU
2022-05-18T17:15:46Z,HD7 4JF
2022-05-18T17:14:02Z,LS13 2BX
2022-05-18T16:56:13Z,LS13 3RG
2022-05-16T17:09:24Z,
2022-05-16T17:04:13Z,LS10 1PL
2022-05-16T17:03:44Z,LS7 3NL
2022-05-16T17:01:33Z,LS8 2PG
2022-05-16T17:01:19Z,LS17 6DB
2022-05-16T17:00:25Z,LS6 1RP
2022-05-16T16:56:47Z,LS17 5HS
2022-05-16T16:56:46Z,LS17 5JH
2022-05-16T16:56:25Z,LS17 8TP
2022-05-16T16:50:55Z,LS7 4JT
2022-05-16T16:50:01Z,LS7 4LQ
2022-05-16T16:38:32Z,LS17 5HH
2022-05-16T16:29:41Z,LS17 7TJ
2022-05-16T16:26:23Z,LS17 5HS
2022-05-14T14:33:40Z,LS20 8EL
2022-05-14T13:53:35Z,LS20 9DT
2022-05-14T13:51:32Z,LS20 8DU
2022-05-14T13:34:32Z,LS20 9DB
2022-05-14T13:33:02Z,LS20 9AG
2022-05-14T13:25:48Z,LS20 9LP
2022-05-12T18:02:23Z,LS3 1FE
2022-05-12T17:56:06Z,LS3 1JL
2022-05-12T17:34:25Z,LS27 8BJ
2022-05-12T17:34:17Z,LS4 2AB
2022-05-12T17:21:21Z,LS4 2JU
2022-05-12T17:20:05Z,LS13 3DF
2022-05-12T17:19:14Z,LS28 7BU
2022-05-12T17:16:32Z,LS3 1JL
2022-05-12T17:14:51Z,LS6 1RH
2022-05-12T17:14:49Z,LS6 1RH
2022-05-12T17:13:49Z,BD21 1BT
2022-05-12T11:42:48Z,LS7 3NL
