event_date,event_time,event_name,event_id,project_name,public_event
2023-08-06,23:59,Moon Palace: After Dark Observation Session at The Royal Armouries,ev_2071392,09 - Smeaton300: Moon Palace East Leeds Observatory,True
2023-08-12,22:00,Moon Palace: After Dark Observation Session at We ART Seacroft Festival,ev_2848288,09 - Smeaton300: Moon Palace East Leeds Observatory,True
2023-08-13,00:00,Moon Palace: After Dark Observation Session at We ART Seacroft Festival,ev_2848291,,
2023-08-19,01:00,Mingle and Mix: Rhythm Time,ev_2861675,,
2023-08-19,14:00,Mingle and Mix: Yoga,ev_2842150,,
2023-08-19,15:00,Mingle and Mix: Sound Baths,ev_2841908,,
2023-08-19,16:00,Mingle and Mix: Drighlington Memory Cafe & Bingo,ev_2861667,,
2023-08-19,18:00,Mingle and Mix: 1950s Dance Session Workshop,ev_2861668,,
2023-08-19,18:00,Mingle and Mix: Crank Studios Workshop,ev_2842409,,
2023-08-19,19:15,Mingle and Mix: Morley Song Performance and Family Celebration Disco,ev_2842413,,
2023-08-24,22:00,Moon Palace: After Dark Observation Session at Fearnville Fields,ev_2071732,09 - Smeaton300: Moon Palace East Leeds Observatory,True
2023-08-24,23:59,Moon Palace: After Dark Observation Session at Fearnville Fields,ev_2071733,09 - Smeaton300: Moon Palace East Leeds Observatory,True
2023-08-27,19:00,Cultural Collective: Open Mic Night,ev_2876855,,
2023-08-31,12:30,Making a Stand: British Sign Language (BSL) Tour,ev_2667220,02 - Making A Stand,True
2023-08-31,16:00,Making a Stand: British Sign Language (BSL) Tour,ev_2667221,02 - Making A Stand,True
2023-09-04,19:45,Nest: Dress Rehearsal,ev_2903867,10 - Nest,False
2023-09-05,17:00,Pre-show Celebration of Nest,ev_2854383,,
2023-09-05,18:05,Nest Shuttle Buses and Car Parking,ev_2818500,,
2023-09-05,19:45,Nest,ev_2809632,10 - Nest,True
2023-09-06,18:05,Nest Shuttle Buses and Car Parking,ev_2818501,,
2023-09-06,19:45,Nest,ev_2809633,10 - Nest,True
2023-09-07,18:05,Nest Shuttle Buses and Car Parking,ev_2818502,,
2023-09-07,19:45,Nest,ev_2809634,10 - Nest,True
2023-09-08,18:05,Nest Shuttle Buses and Car Parking,ev_2818503,,
2023-09-08,19:45,Nest,ev_2809635,10 - Nest,True
2023-09-09,18:05,Nest Shuttle Buses and Car Parking,ev_2818504,,
2023-09-09,19:45,Nest,ev_2809636,10 - Nest,True
2023-09-09,22:00,Moon Palace: After Dark Observation Session at Victoria Square (outside Leeds Art Gallery),ev_2848028,09 - Smeaton300: Moon Palace East Leeds Observatory,True
2023-09-09,23:59,Moon Palace: After Dark Observation Session at Victoria Square (outside Leeds Art Gallery),ev_2848029,09 - Smeaton300: Moon Palace East Leeds Observatory,True
2023-09-14,07:30,School Leaders' Breakfast,ev_2943440,,
2023-09-14,10:00,Leeds Print Workshop: Bookbinding Workshop,ev_2967905,,
2023-09-15,10:30,Making a Stand: A Relaxed and Interactive Experience,ev_2941750,02 - Making A Stand,True
2023-09-15,13:30,Making a Stand: A Relaxed and Interactive Experience,ev_2941751,02 - Making A Stand,True
2023-09-22,19:00,A City Without Seams Ceremony,ev_2967747,12 - My LEEDS 2023,True
2023-09-23,22:30,FANTASMA,ev_2905328,Skills Development,False
2023-09-26,16:00,Leeds Language Week - Programme Launch,ev_2876920,,
2023-09-27,15:00,Designing against the clock; good digital stuff CAN happen within your budget and against tight timescales,ev_2866870,,
2023-09-27,17:00,The Good Book & The Magician Double Bill Screening,ev_2875477,,
2023-09-30,09:30,Teachers' Conference: STEM and the Arts,ev_2064795,09 - Smeaton300: Learning programme,False
2023-10-05,17:00,This is a FOREST Preview,ev_2999785,04 - This is a FOREST,True
2023-10-06,17:00,This is a FOREST: Artist Talk,ev_3024910,04 - This is a FOREST,True
2023-10-09,16:00,Re-imagining Home: Teacher CPD Session,ev_3024027,,
2023-10-10,16:00,Re-imagining Home: Teacher CPD Session,ev_3024028,,
2023-10-14,18:00,The Path Between,ev_2877136,,
2023-10-18,13:30,Yorkshire Schools Dance Festival,ev_3013871,,
2023-10-19,13:30,Yorkshire Schools Dance Festival,ev_3013872,,
2023-10-21,19:00,Moon Palace: Observe the Moon Night at Potternewton Park,ev_2916785,,
2023-10-21,19:00,Moon Palace exploration timeslot at Observe the Moon Night,ev_3147901,,
2023-10-21,19:30,Moon Palace exploration timeslot at Observe the Moon Night,ev_3147904,,
2023-10-21,20:00,Moon Palace exploration timeslot at Observe the Moon Night,ev_3147905,,
2023-10-21,20:30,Moon Palace exploration timeslot at Observe the Moon Night,ev_3147906,,
2023-10-21,21:00,Moon Palace exploration timeslot at Observe the Moon Night,ev_3147907,,
2023-10-21,21:30,Moon Palace exploration timeslot at Observe the Moon Night,ev_3147908,,
2023-10-22,19:30,Moon Palace: Relaxed After Dark Observation Session at Royal Armouries,ev_2918207,09 - Smeaton300: Moon Palace East Leeds Observatory,True
2023-10-22,21:30,Moon Palace: After Dark Observation Session at The Royal Armouries,ev_3004009,09 - Smeaton300: Moon Palace East Leeds Observatory,True
2023-10-24,21:30,Moon Palace: After Dark Observation Session with Audio Description,ev_2918127,09 - Smeaton300: Moon Palace East Leeds Observatory,True
2023-10-25,18:00,Leeds Art Gallery: Youth Twilight Takeover,ev_3075818,,
2023-10-30,11:00,Northern Dreaming Storytime,ev_3134526,13 - Closing,True
2023-10-30,13:00,Northern Dreaming Storytime,ev_3134527,13 - Closing,True
2023-10-30,15:00,Northern Dreaming Storytime,ev_3134528,13 - Closing,True
2023-10-31,19:00,Queercore: Night of The Living,ev_2905326,Skills Development,True
2023-11-02,15:00,All That Lives: Meet the Artists,ev_3045586,,
2023-11-04,16:15,"All That Lives: Big Finish, Film Screening and Pity Party",ev_2912459,,
2023-11-06,10:00,Northern Dreaming Storytime Tour - Schools,ev_3051995,,
2023-11-06,13:30,Northern Dreaming Storytime Tour - Schools,ev_3051996,,
2023-11-08,10:00,Facilitated School Trips to This is a Forest Exhibition,ev_3029738,04 - This is a FOREST,False
2023-11-08,10:30,Moon Palace: School Days,ev_3011518,09 - Smeaton300: Moon Palace East Leeds Observatory,False
2023-11-09,10:00,Facilitated School Trips to This is a Forest Exhibition,ev_3029739,04 - This is a FOREST,False
2023-11-09,10:30,Moon Palace: School Days,ev_3011519,09 - Smeaton300: Moon Palace East Leeds Observatory,False
2023-11-10,10:00,Northern Dreaming Storytime Tour - Schools,ev_3052022,,
2023-11-10,13:30,Northern Dreaming Storytime Tour - Schools,ev_3052023,,
2023-11-13,00:00,And She Built a Crooked House – Schools Programme (In-School Facilitated Workshops),ev_3034657,Creative Learning S3,False
2023-11-13,10:00,Northern Dreaming Storytime Tour - Schools,ev_3051997,,
2023-11-13,13:30,Northern Dreaming Storytime Tour - Schools,ev_3051998,,
2023-11-14,00:00,And She Built a Crooked House – Schools Programme (In-School Facilitated Workshops),ev_3034658,Creative Learning S3,False
2023-11-14,10:00,Northern Dreaming Storytime Tour - Schools,ev_3052012,,
2023-11-14,10:30,Moon Palace: School Days,ev_3011520,09 - Smeaton300: Moon Palace East Leeds Observatory,False
2023-11-14,13:30,Northern Dreaming Storytime Tour - Schools,ev_3052013,,
2023-11-15,10:00,Facilitated School Trips to This is a Forest Exhibition,ev_3029740,04 - This is a FOREST,False
2023-11-15,10:30,Moon Palace: School Days,ev_3011521,09 - Smeaton300: Moon Palace East Leeds Observatory,False
2023-11-15,16:00,Discover Creative Careers - Training for Career Advisors,ev_3206491,Skills Development,False
2023-11-16,10:00,Facilitated School Trips to This is a Forest Exhibition,ev_3029741,04 - This is a FOREST,False
2023-11-16,10:30,Moon Palace: School Days,ev_3011522,09 - Smeaton300: Moon Palace East Leeds Observatory,False
2023-11-17,10:00,Northern Dreaming Storytime Tour - Communities,ev_3052121,,
2023-11-17,14:00,Northern Dreaming Storytime Tour - Communities,ev_3052122,,
2023-11-19,18:00,Moon Palace: After Dark Observation Session at North Parade Car Park,ev_2848366,,
2023-11-19,20:00,Moon Palace: After Dark Observation Session at North Parade Car Park,ev_2848367,,
2023-11-20,00:00,And She Built a Crooked House – Schools Programme (In-School Facilitated Workshops),ev_3034659,Creative Learning S3,False
2023-11-20,10:00,Northern Dreaming Storytime Tour - Schools,ev_3051999,,
2023-11-20,13:30,Northern Dreaming Storytime Tour - Schools,ev_3052000,,
2023-11-21,00:00,And She Built a Crooked House – Schools Programme (In-School Facilitated Workshops),ev_3034660,Creative Learning S3,False
2023-11-21,10:00,Northern Dreaming Storytime Tour - Schools,ev_3052014,,
2023-11-21,13:30,Northern Dreaming Storytime Tour - Schools,ev_3052015,,
2023-11-22,10:00,Facilitated School Trips to This is a Forest Exhibition,ev_3029742,04 - This is a FOREST,False
2023-11-23,10:00,Facilitated School Trips to This is a Forest Exhibition,ev_3029743,04 - This is a FOREST,False
2023-11-23,12:00,Youth Voice for Freelancers,ev_2669616,,
2023-11-24,10:00,Northern Dreaming Storytime Tour - Schools,ev_3052030,,
2023-11-24,12:00,Hibiscus Rising Launch,ev_3074636,06 - National Retrospetive,True
2023-11-24,13:30,Northern Dreaming Storytime Tour - Schools,ev_3052031,,
2023-11-25,10:00,Northern Dreaming Storytime Tour - Communities,ev_3052123,,
2023-11-25,12:00,Hibiscus Rising: In Conversation with Yinka Shonibare,ev_3248633,06 - National Retrospetive,True
2023-11-25,13:00,Hibiscus Rising: Walking David Oluwale’s Leeds with Joe Williams,ev_3248634,,
2023-11-25,13:45,Hibiscus Rising: Poetry workshop with Khadijah Ibrahiim,ev_3248643,,
2023-11-25,14:00,Northern Dreaming Storytime Tour - Communities,ev_3052124,,
2023-11-27,00:00,And She Built a Crooked House – Schools Programme (In-School Facilitated Workshops),ev_3034661,Creative Learning S3,False
2023-11-27,10:00,Northern Dreaming Storytime Tour - Schools,ev_3052001,,
2023-11-27,13:30,Northern Dreaming Storytime Tour - Schools,ev_3052002,,
2023-11-28,00:00,And She Built a Crooked House – Schools Programme (In-School Facilitated Workshops),ev_3034662,Creative Learning S3,False
2023-11-28,10:00,Northern Dreaming Storytime Tour - Schools,ev_3052016,,
2023-11-28,13:30,Northern Dreaming Storytime Tour - Schools,ev_3052017,,
2023-11-29,09:30,And She Built a Crooked House – Schools Programme (Exhibition Visit and Workshop),ev_3034631,,
2023-11-30,09:30,And She Built a Crooked House – Schools Programme (Exhibition Visit and Workshop),ev_3034632,,
2023-12-01,09:30,And She Built a Crooked House – Schools Programme (Exhibition Visit and Workshop),ev_3034633,,
2023-12-01,10:00,Northern Dreaming Storytime Tour - Schools,ev_3052032,,
2023-12-01,13:30,Northern Dreaming Storytime Tour - Schools,ev_3052033,,
2023-12-02,10:00,Northern Dreaming Storytime Tour - Communities,ev_3052125,,
2023-12-02,14:00,Northern Dreaming Storytime Tour - Communities,ev_3052126,,
2023-12-04,08:45,Cultural Education Conference,ev_3073624,Creative Learning S3,False
2023-12-04,10:00,Northern Dreaming Storytime Tour - Schools,ev_3052003,,
2023-12-04,13:30,Northern Dreaming Storytime Tour - Schools,ev_3052004,,
2023-12-05,09:30,Children's Day: Re-imagined Schools Tour,ev_2963290,07 - Children's Day,
2023-12-05,09:30,Children's Day: Re-imagined Schools Tour,ev_2963290,07 - Children's Day,True
2023-12-05,10:30,Moon Palace: School Days,ev_3011523,09 - Smeaton300: Moon Palace East Leeds Observatory,False
2023-12-05,18:30,LEEDS 2023: Festive Celebration,ev_3197549,,
2023-12-06,09:30,And She Built a Crooked House – Schools Programme (Exhibition Visit and Workshop),ev_3034634,,
2023-12-06,09:30,Children's Day: Re-imagined Schools Tour,ev_2963295,07 - Children's Day,
2023-12-06,09:30,Children's Day: Re-imagined Schools Tour,ev_2963295,07 - Children's Day,True
2023-12-06,10:30,Moon Palace: School Days,ev_3011524,09 - Smeaton300: Moon Palace East Leeds Observatory,False
2023-12-07,09:30,Children's Day: Re-imagined Schools Tour,ev_2963296,07 - Children's Day,
2023-12-07,09:30,Children's Day: Re-imagined Schools Tour,ev_2963296,07 - Children's Day,True
2023-12-07,10:30,Moon Palace: School Days,ev_3011525,09 - Smeaton300: Moon Palace East Leeds Observatory,False
2023-12-08,09:30,And She Built a Crooked House – Schools Programme (Exhibition Visit and Workshop),ev_3034636,,
2023-12-08,09:30,Children's Day: Re-imagined Schools Tour,ev_2963297,07 - Children's Day,
2023-12-08,09:30,Children's Day: Re-imagined Schools Tour,ev_2963297,07 - Children's Day,True
2023-12-11,10:00,Northern Dreaming Storytime Tour - Schools,ev_3052005,,
2023-12-11,13:30,Northern Dreaming Storytime Tour - Schools,ev_3052006,,
2023-12-12,10:00,Northern Dreaming Storytime Tour - Schools,ev_3052020,,
2023-12-12,13:30,Northern Dreaming Storytime Tour - Schools,ev_3052021,,
2023-12-13,09:30,And She Built a Crooked House – Schools Programme (Exhibition Visit and Workshop),ev_3034637,,
2023-12-13,10:30,Moon Palace: School Days,ev_3011526,09 - Smeaton300: Moon Palace East Leeds Observatory,False
2023-12-14,09:30,And She Built a Crooked House – Schools Programme (Exhibition Visit and Workshop),ev_3034638,,
2023-12-14,10:30,Moon Palace: School Days,ev_3011527,09 - Smeaton300: Moon Palace East Leeds Observatory,False
2023-12-14,18:00,Future Perfect - Preview Screening,ev_3291909,,
2023-12-15,09:30,And She Built a Crooked House – Schools Programme (Exhibition Visit and Workshop),ev_3034639,,
2023-12-15,10:00,Northern Dreaming Storytime Tour - Schools,ev_3052035,,
2023-12-15,13:30,Northern Dreaming Storytime Tour - Schools,ev_3052036,,
2023-12-18,10:00,Northern Dreaming Storytime Tour - Schools,ev_3052007,,
2023-12-18,13:30,Northern Dreaming Storytime Tour - Schools,ev_3052008,,
2023-12-18,17:30,Moon Palace: After Dark Observation Session at Wetherby Sports Association,ev_2999873,09 - Smeaton300: Moon Palace East Leeds Observatory,True
2023-12-18,19:30,Moon Palace: After Dark Observation Session at Wetherby Sports Association,ev_2999874,09 - Smeaton300: Moon Palace East Leeds Observatory,True
2023-12-19,10:00,Northern Dreaming Storytime Tour - Communities,ev_3052129,,
2023-12-19,14:00,Northern Dreaming Storytime Tour - Communities,ev_3052130,,
2023-12-19,17:30,Moon Palace: After Dark Observation Session at Farnley Hall Park,ev_2917361,09 - Smeaton300: Moon Palace East Leeds Observatory,True
2023-12-19,19:30,Moon Palace: After Dark Observation Session at Farnley Hall Park,ev_2917362,09 - Smeaton300: Moon Palace East Leeds Observatory,True
2023-12-20,17:30,"Moon Palace: After Dark Observation Session at Springhead Park, Rothwell",ev_3009221,09 - Smeaton300: Moon Palace East Leeds Observatory,True
2023-12-20,19:30,"Moon Palace: After Dark Observation Session at Springhead Park, Rothwell",ev_3009222,09 - Smeaton300: Moon Palace East Leeds Observatory,True
2023-12-22,16:30,The Gifting Preview,ev_3048970,13 - Closing,True
2023-12-22,16:30,Accessible Viewing Platform: The Gifting Preview,ev_3308650,,
2023-12-22,19:30,The Gifting,ev_3027783,13 - Closing,True
2023-12-22,19:30,Accessible Viewing Platform: The Gifting,ev_3302576,,
2023-12-26,14:00,The Gifting,ev_2994143,13 - Closing,True
2023-12-26,14:00,Shuttle Buses: The Gifting,ev_3304436,,
2023-12-26,16:30,The Gifting,ev_2994144,13 - Closing,True
2023-12-26,16:30,Accessible Viewing Platform: The Gifting,ev_3302578,,
2023-12-27,14:00,The Gifting,ev_2994147,13 - Closing,True
2023-12-27,14:00,Shuttle Buses: The Gifting,ev_3304437,,
2023-12-27,14:00,Accessible Viewing Platform: The Gifting,ev_3302569,,
2023-12-27,16:30,The Gifting,ev_2994145,13 - Closing,True
2023-12-27,16:30,Shuttle Buses: The Gifting,ev_3304444,,
2023-12-27,19:30,The Gifting,ev_2994146,13 - Closing,True
2023-12-27,19:30,Accessible Viewing Platform: The Gifting,ev_3302832,,
2023-12-28,14:00,The Gifting,ev_2994132,13 - Closing,True
2023-12-28,14:00,Shuttle Buses: The Gifting,ev_3304438,,
2023-12-28,16:30,The Gifting,ev_2994133,13 - Closing,True
2023-12-28,16:30,Shuttle Buses: The Gifting,ev_3304445,,
2023-12-28,19:30,The Gifting,ev_2994134,13 - Closing,True
2023-12-28,19:30,Shuttle Buses: The Gifting,ev_3304450,,
2023-12-29,11:00,The Gifting,ev_2994135,13 - Closing,True
2023-12-29,14:00,The Gifting,ev_2994136,13 - Closing,True
2023-12-29,16:30,The Gifting,ev_2994137,13 - Closing,True
2023-12-30,11:00,The Gifting,ev_2994139,13 - Closing,True
2023-12-30,14:00,The Gifting,ev_2994140,13 - Closing,True
2023-12-30,16:30,The Gifting,ev_2994141,13 - Closing,True
2023-12-30,16:30,Shuttle Buses: The Gifting,ev_3304447,,
2023-12-31,11:00,The Gifting,ev_2994149,13 - Closing,True
2023-12-31,11:00,Shuttle Buses: The Gifting,ev_3304448,,
2023-12-31,14:00,The Gifting,ev_2994150,13 - Closing,True
2023-12-31,14:00,Shuttle Buses: The Gifting,ev_3304441,,
2023-12-31,14:00,Accessible Viewing Platform: The Gifting,ev_3302573,,
2023-12-31,18:00,LEEDS 2023 Wrap Party,ev_3284190,,
