id,name,location,card_price,time,display,stage
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-14 09:00:00,True,['Published/Will be']
80980,Clubbercise,Swinnow Community Centre,From £5,2023-03-14 19:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-15 09:00:00,True,['Published/Will be']
79768,Meditative Walks with Brahma Kumaris,Kirkstall Abbey,Free,2023-03-15 10:30:00,True,['Published/Will be']
80829,Wellbeing Wednesdays at Leeds Art Gallery ,Leeds Art Gallery,Free,2023-03-15 11:30:00,True,['Published/Will be']
79243,Lindy Hop Fundamentals,The Dance Studio Leeds,£32,2023-03-15 19:30:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-16 09:00:00,True,['Published/Will be']
81140,Overlooked Spotlight Tour,Leeds City Museum,Free,2023-03-16 12:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-17 09:00:00,True,['Published/Will be']
79686,Tiny Tigers - museum crafts for under 5s,Leeds City Museum,Free,2023-03-17 10:00:00,True,['Published/Will be']
80128,Meet & Make,Leeds Art Gallery,Free,2023-03-17 13:30:00,True,['Published/Will be']
77859,Lindy Fridays,Carriageworks Theatre,,2023-03-17 19:00:00,,
79690,Rory's Saturday Club - free crafts for families,Leeds City Museum,Free,2023-03-18 11:00:00,True,['Published/Will be']
81256,Afrikan Market Leeds,Leeds West Indian Centre,Free,2023-03-18 11:00:00,True,['Published/Will be']
80536,Lord of the Flies,Leeds Playhouse,,2023-03-18 19:00:00,,['Past']
76801,Manchester Collective – Black Angels,Howard Assembly Room,,2023-03-18 19:45:00,,['Past']
79575,The Bad Mittens Sunday at Armley,Armley Leisure Centre,From £2.50,2023-03-19 12:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-20 09:00:00,True,['Published/Will be']
80929,Beginners Pilates Class,We Are Wellness,Free first beginner class,2023-03-20 17:30:00,True,['Published/Will be']
