ward_code,booked,attended
E05011326,16,9
E05011328,4,4
E05011329,8,2
E05011330,4,4
E05011331,4,4
E05011333,28,24
E05011335,12,6
E05011336,3,1
E05011337,16,14
E05011338,4,2
E05011339,3,1
E05011343,8,8
E05011346,6,2
E05011350,8,5
E05011356,4,4
E05011358,6,1
E05011361,12,4
E05011363,10,4
E05011368,5,3
E05011369,6,2
E05011384,110,58
E05011385,141,65
E05011387,137,88
E05011388,138,74
E05011389,191,108
E05011390,717,388
E05011391,174,102
E05011394,109,39
E05011395,129,52
E05011396,74,28
E05011397,408,285
E05011399,388,209
E05011400,121,41
E05011401,46,23
E05011402,353,250
E05011403,350,163
E05011404,84,36
E05011405,377,254
E05011406,83,38
E05011407,114,45
E05011409,69,41
E05011410,72,42
E05011411,297,161
E05011413,377,247
E05011414,70,36
E05011447,4,2
E05011495,2,0
E05011502,2,2
E05011525,2,2
E05011533,4,0
E05011534,8,2
E05011537,2,2
E05011545,4,3
E05011547,494,296
E05011549,72,30
E05011568,2,2
E05011650,4,2
E05011893,4,3
E05011977,2,1
E05012006,2,0
E05012216,4,2
E05012243,52,28
E05012248,2,0
E05012265,2,0
E05012272,2,0
E05012274,8,2
E05012284,2,2
E05012365,4,0
E05012373,8,3
E05012374,8,3
E05012387,4,0
E05012389,3,0
E05012647,169,90
E05012648,118,69
E05012841,187,95
E05012842,210,107
E05012853,2,0
E05012994,2,2
E05012996,4,0
E05013009,10,7
E05013021,4,4
E05013026,2,0
E05013028,2,0
E05013059,4,3
E05013068,4,2
E05013250,4,0
E05013609,2,0
E05013660,4,0
E05013688,2,0
E05013697,4,4
E05013700,2,0
E05013708,2,1
E05013730,2,0
E05013732,2,0
E05013776,4,3
E05013795,4,4
E05013798,4,0
E05013829,2,0
E05013830,67,33
E05013831,134,73
E05013902,4,3
E05013988,4,0
E05014002,20,6
E05014027,2,0
E05014102,4,0
E05014104,2,1
E05014105,3,3
E05014155,4,0
E05014166,6,0
S13002940,1,0
UNKNOWN,659,371
W05001278,4,2
