school_name,postcode,ward,ward_code
East SILC Jack Clark,LS8 3LF,Gipton and Harehills,E05011394
Yeadon Westfield Junior School,,Guiseley and Rawdon,E05011395
Springwell Leeds Academy,LS14 6XR,Middleton Park,E05011404
"Lady Elizabeth Hastings' CofE VA Primary School, Thorp Arch",,Wetherby,E05011414
Manston St James Primary Academy,,Cross Gates and Whinmoor,E05011391
Beechwood Primary School,,Killingbeck and Seacroft,E05011400
Beckfoot Thornton,BD13 3BH,,
Middleton Primary School,LS10 4HU,Middleton Park,E05011404
Gildersome Primary School,,Morley North,E05011406
Oulton Primary School,,Rothwell,E05011410
Kippax Greenfield Primary School,,Kippax and Methley,E05011401
West Specialist Inclusive Learning Centre,,Bramley and Stanningley,E05011387
Stanningley Primary School,,Bramley and Stanningley,E05011387
Thornhill Community Academy,WF12 0HE,,
Alder Tree Primary Academy,,Chapel Allerton,E05011390
Windmill Primary School,,Alwoodley,E05012842
Poplars Farm Primary,BD2 1LQ,,
Whitkirk Primary School,,Bramley and Stanningley,E05011387
Pool-in-Wharfedale Church of England Voluntary Controlled Primary School,LS21 1LG,Adel and Wharfedale,E05012841
Five Lanes Primary School,,Farnley and Wortley,E05012648
Kirkstall Valley Primary School,,Kirkstall,E05011402
Leeds City College,,Little London and Woodhouse,E05011403
Holy Name Catholic Voluntary Academy,,Weetwood,E05011413
Beecroft Primary School,,Kirkstall,E05011402
Christ Church Upper Armley Church of England Primary School,,Armley,E05011385
Corpus Christi Catholic Primary School,,Temple Newsam,E05013831
White Laith Primary School,,Killingbeck and Seacroft,E05011400
Rothwell St Mary's RC Primary School,,Rothwell,E05011410
Meanwood Church of England Primary School,,Moortown,E05011405
Parklands Primary School,,Killingbeck and Seacroft,E05011400
"St Peter's Church of England Primary School, Leeds",,Burmantofts and Richmond Hill,E05011388
Shadwell Primary School,,Moortown,E05011405
Elliott Hudson College,,Morley North,E05011406
Pudsey Grammar School,,Pudsey,E05011409
Blackgates Primary Academy,,Morley South,E05011407
Crawshaw Academy,LS28 9HU,Pudsey,E05011409
Meadowfield Primary School,,Temple Newsam,E05013831
Cobden Primary School,LS12 5LA,Farnley and Wortley,E05012648
Southroyd Primary and Nursery School,,Pudsey,E05011409
West End Primary School,,Horsforth,E05011547
Strawberry Fields Primary School,LS25 1LL,Garforth and Swillington,E05013830
Hawksworth Wood Primary School,,Kirkstall,E05011402
Leeds West Academy,LS13 1DQ,Bramley and Stanningley,E05011387
Hill Top Primary Academy,,Morley South,E05011407
Leeds College of Building,,Little London and Woodhouse,E05011403
Lady Lane Park,BD16 4AP,,
Swallow Hill Community College,,Armley,E05011385
Green Lane Primary Academy,,Garforth and Swillington,E05013830
St James' Church of England Voluntary Controlled Primary School,,Wetherby,E05011414
Leeds Menorah School,,Moortown,E05011405
Cookridge Primary School,LS16 7DH,Weetwood,E05011413
Bramhope Primary School,,Adel and Wharfedale,E05012841
Bramley St Peter's Church of England Primary School,,Bramley and Stanningley,E05011387
Blenheim Primary School,LS2 9EX,Little London and Woodhouse,E05011403
Cockburn Haigh Road Academy,,Rothwell,E05011410
"St Urban's Catholic Primary School, a Voluntary Academy",,Moortown,E05011405
"St Joseph's Catholic Primary School, Pudsey",,Pudsey,E05011409
"Holy Rosary and St Anne's Catholic Primary School, a Voluntary Academy",,Chapel Allerton,E05011390
Beechtree Steiner Initiative,,Chapel Allerton,E05011390
Moorlands School,,Weetwood,E05011413
Greenside Primary School,,Pudsey,E05011409
Al Kauthar Girls Academy,LS7 4JE,Chapel Allerton,E05011390
East SILC John Jamieson,,Roundhay,E05011411
St Patrick Catholic Primary School,,Burmantofts and Richmond Hill,E05011388
Brigshaw High School,,Kippax and Methley,E05011401
Leeds East Academy,LS14 6HA,Killingbeck and Seacroft,E05011400
Home learners,,,
Bracken Edge Primary School,,Chapel Allerton,E05011390
Seven Hills Primary School,,Morley South,E05011407
Co-op Academy Nightingale,,Gipton and Harehills,E05011394
Co-op Academy Brownhill,,Burmantofts and Richmond Hill,E05011388
Greenhill Primary School,,Farnley and Wortley,E05012648
East Morton CE Primary,BD20 5SE,,
Yeadon Westfield Infant School,,Guiseley and Rawdon,E05011395
The Richmond Hill Academy,,Burmantofts and Richmond Hill,E05011388
Co-op Academy Leeds,,Burmantofts and Richmond Hill,E05011388
Moortown Primary School,,Moortown,E05011405
Cottingley Primary Academy,,Beeston and Holbeck,E05012647
Fountain Primary School,,Morley South,E05011407
Morley Newlands Academy,,Morley South,E05011407
St Mary's Church of England Controlled Primary School Boston Spa,,Wetherby,E05011414
St. Oswald's CofE Primary School,LS20 9BT,Guiseley and Rawdon,E05011395
Temple Learning Academy,,Temple Newsam,E05013831
Brudenell Primary School,,Headingley and Hyde Park,E05011397
Royds Hall,HD3 4HA,,
North Halifax Grammar School,HX2 9SU,,
Hunslet Moor Primary School,,Hunslet and Riverside,E05011399
Horsforth School,LS18 5RF,Horsforth,E05011547
Broadgate Primary School,,Horsforth,E05011547
Armley Park Primary School,,Armley,E05011385
Wigton Moor Primary School,,Temple Newsam,E05013831
Woodkirk Academy,,Morley South,E05011407
Ryecroft Academy,,Farnley and Wortley,E05012648
The Halifax Academy,,,
Rothwell Haigh Road Infant School,,Rothwell,E05011410
"St Mary's Catholic Primary School, Horsforth",,Horsforth,E05011547
Quarry Mount Primary School,,Headingley and Hyde Park,E05011397
Woodhouse Grove School,,Middleton Park,E05011404
Hollybush Primary,,Bramley and Stanningley,E05011387
Hugh Gaitskell Primary School,,Beeston and Holbeck,E05012647
The Ruth Gorse Academy,LS10 1HW,Hunslet and Riverside,E05011399
St Philip's Catholic Primary  School,,Middleton Park,E05011404
Leeds Christian School of Excellence,,Gipton and Harehills,E05011394
Austhorpe Primary School,,Temple Newsam,E05013831
Hovingham Primary School,,Gipton and Harehills,E05011394
Westroyd Primary School and Nursery,,Otley and Yeadon,E05011549
Hymers Junior School,HU3 1LW,,
Methley Primary School,,Kippax and Methley,E05011401
Wetherby High School,,Middleton Park,E05011404
Middleton St Mary's Church of England Voluntary Controlled Primary School,,Middleton Park,E05011404
All Saint's Richmond Hill Church of England Primary School,,Burmantofts and Richmond Hill,E05011388
Richmond House School,,Weetwood,E05011413
Bramley Park Academy,,Bramley and Stanningley,E05011387
"St Francis of Assisi Catholic Primary School, a Voluntary Academy",,Beeston and Holbeck,E05012647
Talbot Primary School,,Roundhay,E05011411
Manston Primary,LS15 8SD,Cross Gates and Whinmoor,E05011391
Roundhay School,LS8 1ND,Roundhay,E05011411
University Technical College Leeds,,Hunslet and Riverside,E05011399
Raynville Academy,,Bramley and Stanningley,E05011387
The Pivot Academy LS East,,Killingbeck and Seacroft,E05011400
Alwoodley Primary School,,Alwoodley,E05012842
"St Anthony's Catholic Primary School, Beeston",,Beeston and Holbeck,E05012647
Moor Allerton Hall Primary School,,Moortown,E05011405
Kirkstall St Stephen's Church of England (VA) Primary School,,Kirkstall,E05011402
Hawksworth Church of England Primary School,,Guiseley and Rawdon,E05011395
Westwood Primary School,,Calverley and Farsley,E05011389
Kippax Ash Tree Primary School,,Kippax and Methley,E05011401
Little London Community Primary School,,Little London and Woodhouse,E05011403
Co-op Beckfield,,,
"St Paul's Catholic Primary School, a Voluntary Academy",,Alwoodley,E05012842
Pudsey Bolton Royd Primary School,,Pudsey,E05011409
Chapel Allerton Primary School,LS7 3PD,Chapel Allerton,E05011390
Bruntcliffe Academy,,Morley South,E05011407
Mill Field Primary School,,Chapel Allerton,E05011390
Cockburn School,LS11 5TT,Beeston and Holbeck,E05012647
Clapgate Primary School,,Middleton Park,E05011404
Adel Primary School,,Adel and Wharfedale,E05012841
"St John's Catholic Specialist School, Boston Spa",,Wetherby,E05011414
Beeston Hill St Luke's Church of England Primary School,,Beeston and Holbeck,E05012647
Armley Grange School,,Armley,E05011385
"St Joseph's Catholic Primary School, Otley",,Otley and Yeadon,E05011549
Park View Primary Academy,,Beeston and Holbeck,E05012647
Lawns Park Primary School,,Farnley and Wortley,E05012648
Hillcrest Academy,,Chapel Allerton,E05011390
Aberford Church of England Voluntary Controlled Primary School,,Harewood,E05011396
"St Joseph's Catholic Primary School, Wetherby",,Wetherby,E05011414
Iveson Primary School,,Weetwood,E05011413
Low Road Primary School,,Hunslet and Riverside,E05011399
Otley All Saints CofE Primary School,,Otley and Yeadon,E05011549
Allerton High School,LS17 7AG,Moortown,E05011405
Netherhall Learning Campus,HD5 9PG,,
North West Specialist Inclusive Learning Centre,,Moortown,E05011405
Pudsey Lowtown Primary School,,Pudsey,E05011409
New Horizons Community School,,Chapel Allerton,E05011390
East Ardsley Primary Academy,,Ardsley and Robin Hood,E05011384
Leeds City Academy,LS6 2LG,Headingley and Hyde Park,E05011397
The Morley Academy,LS27 0PD,Morley South,E05011407
Whingate Primary School,,Wetherby,E05011414
Cockburn Laurence Calvert Academy,LS10 4UZ,Middleton Park,E05011404
Calverley Parkside Primary School,,Calverley and Farsley,E05011389
Rodillian Academy,,Morley South,E05011407
Birchfield Primary School,,Morley North,E05011406
Deighton Gates Primary School,,Wetherby,E05011414
Micklefield Church of England Voluntary Controlled Primary School,,Rothwell,E05011410
Ingram Road Primary School,,Beeston and Holbeck,E05012647
Ireland Wood Primary School,,Weetwood,E05011413
Swarcliffe Primary School,,Cross Gates and Whinmoor,E05011391
Harehills Primary School,,Gipton and Harehills,E05011394
Guiseley School,,Guiseley and Rawdon,E05011395
Templenewsam Halton Primary School,,Temple Newsam,E05013831
Greenmount Primary School,,Beeston and Holbeck,E05012647
Carr Manor Community School,LS17 5DJ,Moortown,E05011405
Oulton Academy ,LS26 8EX,Otley and Yeadon,E05011549
Broomfield South SILC,,Middleton Park,E05011404
Leeds Teaching Hospitals,,,
Bankside Primary School,,Gipton and Harehills,E05011394
Tong Leadership Academy,BD4 6NR,,
Whinmoor St Paul's Church of England Primary School,,Armley,E05011385
Core Training and Development,,Farnley and Wortley,E05012648
Collingham Lady Elizabeth Hastings Church of England Voluntary Aided Primary School,,Wetherby,E05011414
"Holy Trinity Church of England Academy, Rothwell",LS26 0NB,Rothwell,E05011410
Parkside School,BD13 5AD,,
Boston Spa Academy,,Wetherby,E05011414
Manor Wood Primary School,,Moortown,E05011405
Mount St Mary's Catholic High School,LS9 8LA,Burmantofts and Richmond Hill,E05011388
Lady Elizabeth Hastings CofE Primary School,,Kippax and Methley,E05011401
Highfield Primary School,,Moortown,E05011405
Robin Hood Primary School,,Ardsley and Robin Hood,E05011384
Dixons Unity Academy,LS12 3DS,Armley,E05011385
Trinity Academy Leeds,LS9 7QL,Burmantofts and Richmond Hill,E05011388
"Sacred Heart Catholic Primary School, a Voluntary Academy",,Kirkstall,E05011402
Micklefield Church of England Primary Academy,,Kippax and Methley,E05011401
Lawnswood School,LS16 5AG,Weetwood,E05011413
Gledhow Primary School,,Roundhay,E05011411
Gateways School,,Harewood,E05011396
Horsforth Newlaithes Primary School,,Horsforth,E05011547
Allerton CofE Primary School,,Alwoodley,E05012842
Cross Gates Primary School,,Cross Gates and Whinmoor,E05011391
Calverley Church of England Voluntary Aided Primary School,,Calverley and Farsley,E05011389
Farsley Springbank Primary School,,Calverley and Farsley,E05011389
,,,
Primrose Lane Primary School,,Wetherby,E05011414
"Corpus Christi Catholic College, A Voluntary Academy",,Temple Newsam,E05013831
"St Edward's Catholic Primary School, Boston Spa",,Wetherby,E05011414
Barwick-in-Elmet Church of England Voluntary Controlled Primary School,,Harewood,E05011396
St Margaret's Church of England Voluntary Controlled Primary School,LS18 5BL,Horsforth,E05011547
Westbrook Lane Primary School,,Pudsey,E05011409
"Immaculate Heart of Mary Catholic Primary School, A Voluntary Academy",,Moortown,E05011405
Guiseley Primary School,,Guiseley and Rawdon,E05011395
LS-TEN,,Hunslet and Riverside,E05011399
Ninelands Primary School,,Garforth and Swillington,E05013830
Trinity Academy Cathedral,WF13 1PT,,
Rothwell Victoria Junior School,,Rothwell,E05011410
Cockburn John Charles Academy,LS10 2JU,Middleton Park,E05011404
Adel St John the Baptist Church of England Primary School,,Adel and Wharfedale,E05012841
Fieldhead Carr Primary School,,Cross Gates and Whinmoor,E05011391
Morley Victoria Primary School,,Morley North,E05011406
Hanson Academy,BD2 1JP,,
Rawdon St Peter's Church of England Voluntary Controlled Primary School,,Guiseley and Rawdon,E05011395
Green Meadows Academy,,Guiseley and Rawdon,E05011395
Brodetsky Primary School,,Alwoodley,E05012842
Horsforth Featherbank Primary School,,Horsforth,E05011547
Pudsey Primrose Hill Primary School,,Bramley and Stanningley,E05011387
Rufford Park Primary School,,Otley and Yeadon,E05011549
Grimes Dyke Primary School,,Cross Gates and Whinmoor,E05011391
Colton Primary School,,Temple Newsam,E05013831
Bramham Primary School,,Wetherby,E05011414
Cookridge Holy Trinity Church of England Primary School,,Adel and Wharfedale,E05012841
Scholes (Elmet) Primary School,,Harewood,E05011396
The Farnley Academy,,Farnley and Wortley,E05012648
Lighthouse School Leeds,,Weetwood,E05011413
"Ss. Peter and Paul Catholic Primary School, a Voluntary Academy",,Guiseley and Rawdon,E05011395
Great Preston VC CofE Primary School,,Kippax and Methley,E05011401
St Theresa's Catholic Primary School,,Cross Gates and Whinmoor,E05011391
Jack Clark School,,Gipton and Harehills,E05011394
"St Francis Catholic Primary School, Morley",,Morley South,E05011407
Our Lady of Good Counsel Catholic Primary School,,Killingbeck and Seacroft,E05011400
St Benedict's Catholic Primary School,,Garforth and Swillington,E05013830
Eden Park Academy,,Beeston and Holbeck,E05012647
