media_title,scope,category,type,tier
Economist,,Current affairs,Broadcast/Digital,2
Bustle,,Current affairs,Broadcast/Digital,2
The Influential Women Podcast,,Podcasts,Broadcast/Digital,1
Theatre Voice,,Podcasts,Broadcast/Digital,1
In Good Company,,Podcasts,Broadcast/Digital,1
Trebuchet talks,,Podcasts,Broadcast/Digital,1
Exeunt (Pursued By A Bear),,Podcasts,Broadcast/Digital,1
Asian Sunday,,Black and Asian media,,1
Asian Express,,Black and Asian media,,1
Asian Leader,,Black and Asian media,,1
The Voice,,Black and Asian media,,1
Asian Standard,,Black and Asian media,,1
BBC Asian Network,,Black and Asian media,,1
Attitude,,LGBTQ+ media,,1
Bent,,LGBTQ+ media,,1
Boyz,,LGBTQ+ media,,1
DIVA,,LGBTQ+ media,,1
Gay Tmes,,LGBTQ+ media,,1
Pink News,,LGBTQ+ media,,1
Arts Professional,Trade,Specialist arts & culture,,1
artsprofessional.co.uk,Trade,Specialist arts & culture,,1
Stage / Digital Theatre,,Specialist arts & culture,,1
Exeunt,,Specialist arts & culture,,1
AN,,Specialist arts & culture,,1
AI,,Specialist arts & culture,,1
The Stage,,Specialist arts & culture,,1
Museums + Heritage Advisor,,Specialist arts & culture,,1
Museums Journal,,Specialist arts & culture,,1
The Developer,,Specialist arts & culture,,1
Asian Culture Vulture,,Specialist arts & culture,,1
Off/Stage,,Specialist arts & culture,,1
museumassociation.org,Trade,Specialist arts & culture,,1
