date_submitted,la_code,ward_code,artist_age_group,artwork_medium,source
2022-09-23,E08000035,E05012841,35-39,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05012841,55-59,photo,media
2022-09-23,E08000035,E05012841,under16,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05012842,60-64,photo,leeds2023SocialMedia
2022-09-23,E08000036,E05001446,under16,photo,advertising
2022-09-23,E08000036,E05001451,30-34,photo,leeds2023SocialMedia
2022-09-23,E08000036,E05001452,35-39,photo,media
2022-09-23,E09000019,E05013697,25-29,photo,leeds2023SocialMedia
2022-09-23,E09000019,E05013697,30-34,media,recommendedByFriendOrFamily
2022-09-23,E09000031,E05013902,40-44,photo,other
2022-09-23,M99999999,M99999999,40-44,photo,media
2022-09-23,M99999999,M99999999,under16,photo,recommendedByFriendOrFamily
2022-09-23,NOT_PROVIDED,NOT_PROVIDED,16-19,photo,leeds2023Event
2022-09-23,NOT_PROVIDED,NOT_PROVIDED,16-19,photo,other
2022-09-23,NOT_PROVIDED,NOT_PROVIDED,20-24,photo,throughCollegeOrUniversity
2022-09-23,NOT_PROVIDED,NOT_PROVIDED,25-29,photo,other
2022-09-23,NOT_PROVIDED,NOT_PROVIDED,25-29,photo,throughCollegeOrUniversity
2022-09-23,NOT_PROVIDED,NOT_PROVIDED,30-34,photo,leeds2023Website
2022-09-23,NOT_PROVIDED,NOT_PROVIDED,30-34,photo,other
2022-09-23,NOT_PROVIDED,NOT_PROVIDED,50-54,media,media
2022-09-23,NOT_PROVIDED,NOT_PROVIDED,50-54,photo,other
2022-09-23,UNKNOWN,UNKNOWN,40-44,photo,advertising
2022-09-23,UNKNOWN,UNKNOWN,45-49,photo,throughCollegeOrUniversity
2022-09-24,E06000014,E05010322,under16,photo,leeds2023SocialMedia
2022-09-24,E07000038,E05012062,55-59,photo,throughCulturalOrArtsOrg
2022-09-24,E07000096,E05004699,55-59,photo,leeds2023Event
2022-09-24,E07000171,E05006379,50-54,photo,communityEventOrOrg
2022-09-24,E07000198,E05007046,70-74,photo,media
2022-09-24,E08000007,E05000792,30-34,photo,throughCulturalOrArtsOrg
2022-09-24,E08000032,E05001342,25-29,photo,leeds2023Event
2022-09-24,E08000032,E05001354,45-49,media,advertising
2022-09-24,E08000033,E05001377,55-59,photo,throughCulturalOrArtsOrg
2022-09-24,E08000033,E05001377,under16,photo,throughCulturalOrArtsOrg
2022-09-24,E08000035,E05011387,25-29,media,leeds2023SocialMedia
2022-09-24,E08000035,E05011387,50-54,photo,leeds2023Website
2022-09-24,E08000035,E05011389,35-39,photo,communityEventOrOrg
2022-09-24,E08000035,E05011390,30-34,photo,media
2022-09-24,E08000035,E05011390,40-44,photo,media
2022-09-24,E08000035,E05011390,50-54,photo,leeds2023SocialMedia
2022-09-24,E08000035,E05011390,under16,photo,media
2022-09-24,E08000035,E05011390,under16,photo,media
2022-09-24,E08000035,E05011390,under16,photo,recommendedByFriendOrFamily
2022-09-24,E08000035,E05011397,16-19,photo,recommendedByFriendOrFamily
2022-09-24,E08000035,E05011397,20-24,photo,media
2022-09-24,E08000035,E05011397,20-24,photo,throughCollegeOrUniversity
2022-09-24,E08000035,E05011397,25-29,photo,recommendedByFriendOrFamily
2022-09-24,E08000035,E05011401,70-74,media,media
2022-09-24,E08000035,E05011402,under16,photo,leeds2023Event
2022-09-24,E08000035,E05011403,20-24,photo,leeds2023SocialMedia
2022-09-24,E08000035,E05011405,30-34,photo,recommendedByFriendOrFamily
2022-09-24,E08000035,E05011405,50-54,photo,leeds2023SocialMedia
2022-09-24,E08000035,E05011405,under16,photo,recommendedByFriendOrFamily
2022-09-24,E08000035,E05011406,25-29,photo,leeds2023SocialMedia
2022-09-24,E08000035,E05011406,25-29,photo,throughCulturalOrArtsOrg
2022-09-24,E08000035,E05011411,65-69,photo,leeds2023SocialMedia
2022-09-24,E08000035,E05011413,75-79,photo,leeds2023Website
2022-09-24,E08000035,E05011547,65-69,photo,communityEventOrOrg
2022-09-24,E08000035,E05012842,25-29,photo,leeds2023SocialMedia
2022-09-24,E08000035,E05012842,45-49,photo,leeds2023SocialMedia
2022-09-24,S12000036,S13002929,60-64,photo,leeds2023Website
2022-09-24,UNKNOWN,UNKNOWN,70-74,media,media
2022-09-24,UNKNOWN,UNKNOWN,70-74,photo,throughCollegeOrUniversity
2022-09-25,E07000012,E05011297,25-29,photo,throughCollegeOrUniversity
2022-09-25,E08000002,E05014152,30-34,photo,recommendedByFriendOrFamily
2022-09-25,E08000004,E05000731,75-79,photo,media
2022-09-25,E08000017,E05010748,25-29,media,leeds2023Website
2022-09-25,E08000025,E05011143,30-34,photo,leeds2023SocialMedia
2022-09-25,E08000028,E05001280,under16,photo,media
2022-09-25,E08000033,E05001372,45-49,photo,recommendedByFriendOrFamily
2022-09-25,E08000034,E05001393,under16,photo,media
2022-09-25,E08000034,E05001408,50-54,media,leeds2023SocialMedia
2022-09-25,E08000034,E05001408,50-54,photo,leeds2023Website
2022-09-25,E08000035,E05011388,20-24,photo,throughCollegeOrUniversity
2022-09-25,E08000035,E05011388,60-64,photo,media
2022-09-25,E08000035,E05011389,30-34,photo,recommendedByFriendOrFamily
2022-09-25,E08000035,E05011391,under16,photo,leeds2023Event
2022-09-25,E08000035,E05011397,20-24,media,media
2022-09-25,E08000035,E05011397,20-24,photo,leeds2023Website
2022-09-25,E08000035,E05011402,35-39,photo,leeds2023Event
2022-09-25,E08000035,E05011402,40-44,photo,leeds2023Event
2022-09-25,E08000035,E05011402,under16,photo,leeds2023Event
2022-09-25,E08000035,E05011402,under16,photo,leeds2023Event
2022-09-25,E08000035,E05011403,20-24,photo,recommendedByFriendOrFamily
2022-09-25,E08000035,E05011405,50-54,photo,leeds2023Website
2022-09-25,E08000035,E05011406,50-54,photo,throughCulturalOrArtsOrg
2022-09-25,E08000035,E05011409,35-39,media,recommendedByFriendOrFamily
2022-09-25,E08000035,E05011409,35-39,photo,recommendedByFriendOrFamily
2022-09-25,E08000035,E05011547,35-39,photo,leeds2023Event
2022-09-25,E08000035,E05011547,40-44,media,leeds2023SocialMedia
2022-09-25,E08000035,E05011549,20-24,media,leeds2023SocialMedia
2022-09-25,E08000035,E05012841,50-54,photo,recommendedByFriendOrFamily
2022-09-26,E07000120,E05005216,45-49,photo,leeds2023SocialMedia
2022-09-26,E07000169,E05010055,50-54,photo,media
2022-09-26,E08000034,E05008560,65-69,photo,media
2022-09-26,E08000035,E05011385,40-44,photo,other
2022-09-26,E08000035,E05011385,45-49,photo,yorkshireEveningPostSupplement
2022-09-26,E08000035,E05011388,30-34,photo,communityEventOrOrg
2022-09-26,E08000035,E05011388,35-39,photo,leeds2023SocialMedia
2022-09-26,E08000035,E05011390,45-49,photo,throughCulturalOrArtsOrg
2022-09-26,E08000035,E05011390,60-64,photo,leeds2023Website
2022-09-26,E08000035,E05011390,60-64,photo,media
2022-09-26,E08000035,E05011390,60-64,photo,other
2022-09-26,E08000035,E05011390,70-74,photo,leeds2023Website
2022-09-26,E08000035,E05011390,70-74,photo,media
2022-09-26,E08000035,E05011397,30-34,photo,recommendedByFriendOrFamily
2022-09-26,E08000035,E05011413,55-59,photo,recommendedByFriendOrFamily
2022-09-26,E08000035,E05011413,60-64,photo,media
2022-09-26,E08000035,E05011413,unspecified,photo,media
2022-09-26,E08000035,E05011547,30-34,photo,media
2022-09-26,E08000035,E05011547,35-39,photo,leeds2023SocialMedia
2022-09-26,E08000035,E05011547,35-39,photo,media
2022-09-26,E08000035,E05011547,40-44,photo,advertising
2022-09-26,E08000035,E05011547,40-44,photo,leeds2023SocialMedia
2022-09-26,E08000035,E05011547,40-44,photo,recommendedByFriendOrFamily
2022-09-26,E08000035,E05011547,50-54,photo,media
2022-09-26,E08000035,E05011547,55-59,photo,leeds2023Event
2022-09-26,E08000035,E05011547,55-59,photo,leeds2023SocialMedia
2022-09-26,E08000035,E05011547,60-64,photo,leeds2023SocialMedia
2022-09-26,E08000035,E05011549,40-44,media,leeds2023SocialMedia
2022-09-26,E08000035,E05012647,25-29,photo,leeds2023Website
2022-09-26,E08000035,E05012647,50-54,photo,leeds2023Event
2022-09-26,E08000035,E05012841,55-59,photo,leeds2023SocialMedia
2022-09-26,E08000036,E05001458,under16,photo,recommendedByFriendOrFamily
2022-09-27,E06000013,E05001739,under16,photo,other
2022-09-27,E07000165,E05011325,under16,photo,leeds2023Event
2022-09-27,E07000165,E05011325,under16,photo,leeds2023Event
2022-09-27,E07000225,E05011675,under16,photo,media
2022-09-27,E08000032,E05001349,under16,photo,leeds2023SocialMedia
2022-09-27,E08000032,E05001362,25-29,photo,other
2022-09-27,E08000032,E05001362,30-34,photo,leeds2023Event
2022-09-27,E08000032,E05001362,40-44,photo,other
2022-09-27,E08000032,E05001362,under16,photo,leeds2023Event
2022-09-27,E08000032,E05001366,20-24,media,other
2022-09-27,E08000035,E05011389,30-34,photo,leeds2023SocialMedia
2022-09-27,E08000035,E05011389,40-44,photo,leeds2023Event
2022-09-27,E08000035,E05011394,25-29,photo,leeds2023SocialMedia
2022-09-27,E08000035,E05011395,under16,media,advertising
2022-09-27,E08000035,E05011407,35-39,photo,leeds2023Event
2022-09-27,E08000035,E05011411,35-39,photo,leeds2023Event
2022-09-27,E08000035,E05011413,45-49,media,media
2022-09-27,E08000035,E05011413,55-59,photo,workplace
2022-09-27,E08000036,E05001448,under16,photo,workplace
2022-09-27,E09000023,E05013731,30-34,photo,recommendedByFriendOrFamily
2022-09-28,E06000014,E05010317,under16,photo,leeds2023Event
2022-09-28,E07000163,E05009670,55-59,photo,media
2022-09-28,E07000198,E05007041,45-49,photo,media
2022-09-28,E08000025,E05011181,20-24,photo,recommendedByFriendOrFamily
2022-09-28,E08000032,E05001354,45-49,photo,media
2022-09-28,E08000032,E05001354,under16,photo,media
2022-09-28,E08000032,E05001362,20-24,photo,leeds2023Event
2022-09-28,E08000032,E05001362,30-34,photo,leeds2023Event
2022-09-28,E08000032,E05001362,35-39,photo,leeds2023Event
2022-09-28,E08000032,E05001362,under16,photo,leeds2023Event
2022-09-28,E08000033,E05001385,under16,photo,recommendedByFriendOrFamily
2022-09-28,E08000034,E05001393,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011384,25-29,photo,throughCollegeOrUniversity
2022-09-28,E08000035,E05011387,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011388,25-29,photo,leeds2023Event
2022-09-28,E08000035,E05011388,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011389,40-44,photo,leeds2023Event
2022-09-28,E08000035,E05011389,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011391,35-39,photo,leeds2023SocialMedia
2022-09-28,E08000035,E05011394,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011394,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011397,16-19,photo,throughCollegeOrUniversity
2022-09-28,E08000035,E05011397,25-29,photo,throughCollegeOrUniversity
2022-09-28,E08000035,E05011399,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011399,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011400,60-64,photo,leeds2023Event
2022-09-28,E08000035,E05011402,20-24,photo,leeds2023Event
2022-09-28,E08000035,E05011402,25-29,photo,leeds2023Event
2022-09-28,E08000035,E05011403,16-19,photo,throughCollegeOrUniversity
2022-09-28,E08000035,E05011403,20-24,photo,leeds2023Event
2022-09-28,E08000035,E05011403,20-24,photo,throughCollegeOrUniversity
2022-09-28,E08000035,E05011403,20-24,photo,throughCollegeOrUniversity
2022-09-28,E08000035,E05011403,20-24,photo,throughCollegeOrUniversity
2022-09-28,E08000035,E05011403,20-24,photo,throughCollegeOrUniversity
2022-09-28,E08000035,E05011403,20-24,photo,throughCollegeOrUniversity
2022-09-28,E08000035,E05011403,25-29,photo,leeds2023Event
2022-09-28,E08000035,E05011403,30-34,photo,throughCollegeOrUniversity
2022-09-28,E08000035,E05011403,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011403,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011403,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011403,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011403,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011403,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011403,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011403,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011403,unspecified,photo,leeds2023Event
2022-09-28,E08000035,E05011404,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011407,35-39,photo,leeds2023Event
2022-09-28,E08000035,E05011407,35-39,photo,leeds2023Event
2022-09-28,E08000035,E05011411,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011411,under16,photo,leeds2023Event
2022-09-28,E08000035,E05011413,16-19,photo,leeds2023SocialMedia
2022-09-28,E08000035,E05011547,under16,photo,recommendedByFriendOrFamily
2022-09-28,E08000035,E05012647,25-29,photo,leeds2023Event
2022-09-28,E08000035,E05012647,35-39,photo,leeds2023Event
2022-09-28,E08000035,E05012647,40-44,photo,leeds2023Event
2022-09-28,E08000035,E05012647,45-49,photo,leeds2023Event
2022-09-28,E08000035,E05012647,unspecified,photo,leeds2023Event
2022-09-28,E08000035,E05012647,unspecified,photo,leeds2023Event
2022-09-28,E08000035,E05012648,under16,photo,leeds2023Event
2022-09-28,E08000035,E05012648,under16,photo,leeds2023Event
2022-09-28,E08000035,E05012841,65-69,photo,leeds2023SocialMedia
2022-09-28,E08000036,E05001460,under16,photo,leeds2023Event
2022-09-28,NOT_PROVIDED,NOT_PROVIDED,25-29,photo,throughCollegeOrUniversity
2022-09-28,NOT_PROVIDED,NOT_PROVIDED,35-39,photo,leeds2023Event
2022-09-28,NOT_PROVIDED,NOT_PROVIDED,under16,photo,leeds2023Event
2022-09-28,NOT_PROVIDED,NOT_PROVIDED,under16,photo,leeds2023Event
2022-09-28,NOT_PROVIDED,NOT_PROVIDED,under16,photo,leeds2023Event
2022-09-28,NOT_PROVIDED,NOT_PROVIDED,under16,photo,leeds2023Event
2022-09-28,NOT_PROVIDED,NOT_PROVIDED,under16,photo,leeds2023Event
2022-09-28,NOT_PROVIDED,NOT_PROVIDED,under16,photo,leeds2023Event
2022-09-28,NOT_PROVIDED,NOT_PROVIDED,under16,photo,leeds2023Event
2022-09-28,NOT_PROVIDED,NOT_PROVIDED,unspecified,photo,leeds2023Event
2022-09-28,NOT_PROVIDED,NOT_PROVIDED,unspecified,photo,leeds2023Event
2022-09-28,NOT_PROVIDED,NOT_PROVIDED,unspecified,photo,leeds2023Event
2022-09-28,NOT_PROVIDED,NOT_PROVIDED,unspecified,photo,leeds2023Event
2022-09-28,UNKNOWN,UNKNOWN,20-24,photo,leeds2023Event
2022-09-28,UNKNOWN,UNKNOWN,25-29,photo,leeds2023Event
2022-09-28,UNKNOWN,UNKNOWN,40-44,photo,leeds2023Event
2022-09-28,UNKNOWN,UNKNOWN,50-54,photo,leeds2023Event
2022-09-28,UNKNOWN,UNKNOWN,under16,photo,leeds2023Event
2022-09-28,UNKNOWN,UNKNOWN,under16,photo,leeds2023Event
2022-09-28,UNKNOWN,UNKNOWN,unspecified,photo,leeds2023Event
2022-09-29,E07000032,E05003301,under16,photo,leeds2023SocialMedia
2022-09-29,E07000169,E05010044,75-79,photo,recommendedByFriendOrFamily
2022-09-29,E08000019,E05010860,35-39,photo,throughCollegeOrUniversity
2022-09-29,E08000035,E05011388,30-34,photo,leeds2023Event
2022-09-29,E08000035,E05011390,45-49,photo,recommendedByFriendOrFamily
2022-09-29,E08000035,E05011394,30-34,photo,recommendedByFriendOrFamily
2022-09-29,E08000035,E05011397,20-24,photo,advertising
2022-09-29,E08000035,E05011397,45-49,photo,media
2022-09-29,E08000035,E05011403,20-24,photo,throughCollegeOrUniversity
2022-09-29,E08000035,E05011403,25-29,photo,other
2022-09-29,E08000035,E05011547,25-29,photo,recommendedByFriendOrFamily
2022-09-29,E08000035,E05012842,60-64,photo,recommendedByFriendOrFamily
2022-09-29,UNKNOWN,UNKNOWN,16-19,photo,advertising
2022-09-30,E08000003,E05011370,30-34,photo,leeds2023SocialMedia
2022-09-30,E08000034,E05001399,16-19,photo,media
2022-09-30,E08000035,E05011390,40-44,photo,leeds2023SocialMedia
2022-09-30,E08000035,E05011390,50-54,photo,recommendedByFriendOrFamily
2022-09-30,E08000035,E05011390,under16,photo,leeds2023Website
2022-09-30,E08000035,E05011390,under16,photo,throughCulturalOrArtsOrg
2022-09-30,E08000035,E05011395,45-49,photo,leeds2023SocialMedia
2022-09-30,E08000035,E05011395,under16,photo,leeds2023SocialMedia
2022-09-30,E08000035,E05011395,under16,photo,leeds2023SocialMedia
2022-09-30,E08000035,E05011399,55-59,photo,recommendedByFriendOrFamily
2022-09-30,E08000035,E05011401,25-29,photo,workplace
2022-09-30,E08000035,E05011409,16-19,photo,advertising
2022-09-30,E08000035,E05012647,60-64,photo,leeds2023SocialMedia
2022-09-30,E08000035,E05012842,25-29,photo,recommendedByFriendOrFamily
2022-10-01,E08000003,E05011377,55-59,media,leeds2023SocialMedia
2022-10-01,E08000015,E05000974,16-19,media,recommendedByFriendOrFamily
2022-10-01,E08000015,E05000974,16-19,photo,other
2022-10-01,E08000015,E05000974,16-19,photo,other
2022-10-01,E08000035,E05011390,25-29,photo,media
2022-10-01,E08000035,E05011405,40-44,photo,leeds2023Event
2022-10-01,E08000035,E05011405,40-44,photo,leeds2023SocialMedia
2022-10-01,E08000035,E05011405,45-49,photo,leeds2023SocialMedia
2022-10-01,E08000035,E05011411,70-74,photo,media
2022-10-01,E08000035,E05011413,under16,media,leeds2023SocialMedia
2022-10-01,E08000035,E05011547,40-44,photo,recommendedByFriendOrFamily
2022-10-01,E08000035,E05012647,25-29,photo,media
2022-10-01,UNKNOWN,UNKNOWN,70-74,photo,media
2022-10-02,E07000121,E05009600,30-34,photo,media
2022-10-02,E07000165,E05011338,45-49,photo,leeds2023Event
2022-10-02,E07000223,E05007568,55-59,photo,other
2022-10-02,E08000035,E05011390,50-54,photo,advertising
2022-10-03,E06000014,E05010323,unspecified,photo,leeds2023Event
2022-10-03,E07000228,E05007685,60-64,photo,recommendedByFriendOrFamily
2022-10-03,E08000032,E05001348,30-34,photo,leeds2023Event
2022-10-03,E08000032,E05001348,unspecified,photo,leeds2023Event
2022-10-03,E08000032,E05001348,unspecified,photo,leeds2023Event
2022-10-03,E08000032,E05001366,under16,photo,throughCollegeOrUniversity
2022-10-03,E08000033,E05001384,under16,photo,leeds2023Event
2022-10-03,E08000034,E05001398,25-29,photo,leeds2023Event
2022-10-03,E08000034,E05001402,unspecified,photo,leeds2023Event
2022-10-03,E08000035,E05011399,30-34,photo,leeds2023Event
2022-10-03,E08000035,E05011399,30-34,photo,leeds2023Event
2022-10-03,E08000035,E05011404,35-39,photo,other
2022-10-03,E08000035,E05011404,under16,photo,leeds2023Event
2022-10-03,E08000035,E05011405,unspecified,photo,leeds2023Event
2022-10-03,E08000035,E05011407,unspecified,photo,leeds2023Event
2022-10-03,E08000035,E05011409,30-34,photo,media
2022-10-03,NOT_PROVIDED,NOT_PROVIDED,under16,photo,leeds2023Event
2022-10-03,NOT_PROVIDED,NOT_PROVIDED,under16,photo,leeds2023Event
2022-10-03,NOT_PROVIDED,NOT_PROVIDED,under16,photo,leeds2023Event
2022-10-03,NOT_PROVIDED,NOT_PROVIDED,under16,photo,leeds2023Event
2022-10-04,E07000164,E05009674,55-59,photo,workplace
2022-10-04,E07000164,E05009674,65-69,photo,recommendedByFriendOrFamily
2022-10-04,E07000165,E05011325,35-39,photo,leeds2023Event
2022-10-04,E08000032,E05001345,45-49,photo,leeds2023Event
2022-10-04,E08000032,E05001350,30-34,photo,leeds2023Event
2022-10-04,E08000032,E05001350,under16,photo,leeds2023Event
2022-10-04,E08000032,E05001350,under16,photo,leeds2023Event
2022-10-04,E08000033,E05001371,unspecified,photo,leeds2023Event
2022-10-04,E08000034,E05001389,60-64,photo,communityEventOrOrg
2022-10-04,E08000034,E05001390,unspecified,photo,leeds2023Event
2022-10-04,E08000034,E05001390,unspecified,photo,leeds2023Event
2022-10-04,E08000034,E05001390,unspecified,photo,leeds2023Event
2022-10-04,E08000034,E05001390,unspecified,photo,leeds2023Event
2022-10-04,E08000034,E05001391,under16,photo,leeds2023Event
2022-10-04,E08000034,E05001391,under16,photo,leeds2023Event
2022-10-04,E08000034,E05001392,under16,photo,leeds2023Event
2022-10-04,E08000034,E05001392,under16,photo,leeds2023Event
2022-10-04,E08000034,E05001393,unspecified,photo,leeds2023Event
2022-10-04,E08000034,E05008560,unspecified,photo,leeds2023Event
2022-10-04,E08000034,E05008560,unspecified,photo,leeds2023Event
2022-10-04,E08000035,E05011384,under16,photo,leeds2023Event
2022-10-04,E08000035,E05011384,under16,photo,leeds2023Event
2022-10-04,E08000035,E05011385,unspecified,photo,leeds2023Event
2022-10-04,E08000035,E05011387,25-29,photo,recommendedByFriendOrFamily
2022-10-04,E08000035,E05011387,60-64,photo,throughCulturalOrArtsOrg
2022-10-04,E08000035,E05011389,unspecified,photo,leeds2023Event
2022-10-04,E08000035,E05011390,65-69,photo,leeds2023SocialMedia
2022-10-04,E08000035,E05011400,30-34,media,leeds2023SocialMedia
2022-10-04,E08000035,E05011407,30-34,photo,other
2022-10-04,E08000035,E05011407,unspecified,photo,leeds2023Event
2022-10-04,E08000035,E05011410,40-44,photo,leeds2023Event
2022-10-04,E08000035,E05012647,35-39,photo,leeds2023SocialMedia
2022-10-04,E08000035,E05012647,unspecified,photo,leeds2023Event
2022-10-04,E08000035,E05012648,40-44,photo,leeds2023Event
2022-10-04,E08000035,E05012648,50-54,photo,leeds2023Event
2022-10-04,E08000035,E05012648,60-64,media,throughCulturalOrArtsOrg
2022-10-04,E08000035,E05012648,unspecified,photo,leeds2023Event
2022-10-04,E08000036,E05001444,45-49,photo,leeds2023Event
2022-10-04,E08000036,E05001445,unspecified,photo,leeds2023Event
2022-10-04,E08000036,E05001446,unspecified,photo,leeds2023Event
2022-10-04,E08000036,E05001447,50-54,photo,leeds2023SocialMedia
2022-10-04,E08000036,E05001448,60-64,photo,leeds2023SocialMedia
2022-10-04,E08000036,E05001450,unspecified,photo,leeds2023Event
2022-10-04,E08000036,E05001452,under16,photo,leeds2023Event
2022-10-04,E08000036,E05001456,unspecified,photo,leeds2023Event
2022-10-04,E08000036,E05001458,under16,photo,leeds2023Event
2022-10-04,E08000036,E05001459,unspecified,photo,leeds2023Event
