Local Authority,count_2018-19,count_2019-20,count_2020-21,count_2021-22,count_2022-23,sum_2018-19,sum_2019-20,sum_2020-21,sum_2021-22,sum_2022-23,count_total,sum_total
Broxtowe,6.0,14.0,4.0,6.0,3.0,69912.0,235257.0,164007.0,284463.0,81187.0,33.0,834826.0
Buckinghamshire,12.0,10.0,10.0,18.0,2.0,233299.0,110536.0,125014.0,730366.0,44636.0,52.0,1243851.0
Burnley,3.0,3.0,,1.0,,43777.0,44196.0,,14990.0,,7.0,102963.0
Bury,10.0,14.0,7.0,9.0,5.0,135858.0,192053.0,113525.0,205265.0,138806.0,45.0,785507.0
Calderdale,25.0,19.0,9.0,21.0,8.0,626742.0,312606.0,122238.0,346340.0,200676.0,82.0,1608602.0
Cambridge,32.0,35.0,10.0,18.0,7.0,591630.0,470239.0,168423.0,447999.0,257203.0,102.0,1935494.0
Camden,78.0,78.0,40.0,73.0,22.0,1207174.0,1280453.0,971327.0,1976320.0,1924097.0,291.0,7359371.0
Canterbury,20.0,18.0,4.0,18.0,7.0,340985.0,538687.0,50480.0,251439.0,135070.0,67.0,1316661.0
Cardiff,12.0,7.0,2.0,3.0,2.0,177879.0,92409.0,28515.0,129350.0,49202.0,26.0,477355.0
Carlisle,7.0,3.0,2.0,5.0,,98177.0,30981.0,17634.0,575145.0,,17.0,721937.0
Carmarthenshire,1.0,,,,,13456.0,,,,,1.0,13456.0
Castle Point,2.0,2.0,,,,29400.0,29850.0,,,,4.0,59250.0
Central Bedfordshire,7.0,13.0,4.0,8.0,3.0,229387.0,275638.0,85883.0,171226.0,61076.0,35.0,823210.0
Ceredigion,,1.0,1.0,,,,7845.0,15000.0,,,2.0,22845.0
Charnwood,4.0,6.0,9.0,10.0,1.0,49806.0,98861.0,131709.0,188264.0,100000.0,30.0,568640.0
Chelmsford,5.0,6.0,6.0,4.0,5.0,90322.0,115174.0,105119.0,60774.0,108162.0,26.0,479551.0
Cheltenham,11.0,7.0,6.0,3.0,,123624.0,203477.0,104868.0,36506.0,,27.0,468475.0
Cherwell,6.0,6.0,4.0,9.0,3.0,149972.0,69274.0,48050.0,241541.0,66500.0,28.0,575337.0
Cheshire East,10.0,13.0,11.0,12.0,,180888.0,258772.0,161381.0,267309.0,,46.0,868350.0
Cheshire West and Chester,7.0,12.0,6.0,10.0,,95294.0,158103.0,67892.0,519668.0,,35.0,840957.0
Chesterfield,1.0,3.0,5.0,5.0,3.0,7769.0,24670.0,96940.0,78815.0,74205.0,17.0,282399.0
Chichester,11.0,16.0,7.0,9.0,4.0,157878.0,205263.0,103364.0,184284.0,74619.0,47.0,725408.0
Chorley,4.0,4.0,2.0,5.0,,65653.0,56828.0,29731.0,59784.0,,15.0,211996.0
City of Edinburgh,2.0,5.0,,1.0,,53635.0,66456.0,,12348.0,,8.0,132439.0
City of London,6.0,9.0,4.0,5.0,2.0,96549.0,266774.0,50600.0,149980.0,80000.0,26.0,643903.0
Colchester,18.0,20.0,17.0,17.0,8.0,370879.0,417116.0,322687.0,428194.0,258863.0,80.0,1797739.0
Copeland,2.0,5.0,2.0,7.0,1.0,28679.0,92531.0,29440.0,112623.0,4949.0,17.0,268222.0
Corby,,1.0,,,,,85965.0,,,,1.0,85965.0
Cornwall,57.0,73.0,43.0,62.0,12.0,1165837.0,2303253.0,970699.0,1426917.0,362189.0,247.0,6228895.0
Cotswold,,4.0,3.0,4.0,4.0,,56264.0,79797.0,59558.0,90527.0,15.0,286146.0
County Durham,22.0,21.0,11.0,15.0,6.0,359968.0,365595.0,148903.0,306605.0,177029.0,75.0,1358100.0
Coventry,18.0,29.0,28.0,42.0,6.0,474101.0,555491.0,1711590.0,2331339.0,881836.0,123.0,5954357.0
Craven,3.0,7.0,4.0,5.0,2.0,173290.0,234042.0,45243.0,163808.0,121740.0,21.0,738123.0
Crawley,8.0,7.0,6.0,8.0,3.0,162700.0,102478.0,74415.0,175255.0,89946.0,32.0,604794.0
Croydon,24.0,31.0,15.0,33.0,17.0,519496.0,565728.0,400050.0,816318.0,382829.0,120.0,2684421.0
Dacorum,6.0,10.0,7.0,5.0,,98841.0,178007.0,101817.0,96737.0,,28.0,475402.0
Darlington,3.0,7.0,3.0,3.0,2.0,40914.0,145330.0,35533.0,87567.0,43500.0,18.0,352844.0
Dartford,,2.0,3.0,4.0,,,29160.0,40433.0,83090.0,,9.0,152683.0
Daventry,2.0,1.0,,,,29999.0,77012.0,,,,3.0,107011.0
Denbighshire,,,,1.0,,,,,8454.0,,1.0,8454.0
Derby,12.0,17.0,9.0,21.0,6.0,485588.0,1942727.0,235860.0,669790.0,131322.0,65.0,3465287.0
Derbyshire Dales,8.0,9.0,2.0,9.0,3.0,168933.0,115579.0,40673.0,316623.0,67835.0,31.0,709643.0
Doncaster,5.0,12.0,3.0,6.0,1.0,116319.0,238907.0,43994.0,381586.0,1447.0,27.0,782253.0
Dorset,15.0,25.0,12.0,17.0,2.0,270346.0,1208253.0,151608.0,335258.0,25450.0,71.0,1990915.0
Dover,7.0,4.0,3.0,5.0,2.0,88749.0,106023.0,40295.0,101978.0,59995.0,21.0,397040.0
Dudley,5.0,2.0,6.0,15.0,5.0,60646.0,23992.0,76090.0,365548.0,164911.0,33.0,691187.0
Dumfries and Galloway,2.0,,,1.0,,21732.0,,,14950.0,,3.0,36682.0
Ealing,15.0,15.0,9.0,16.0,3.0,168186.0,226731.0,109471.0,256409.0,49000.0,58.0,809797.0
East Cambridgeshire,1.0,5.0,1.0,6.0,1.0,40000.0,182867.0,15000.0,125634.0,30970.0,14.0,394471.0
East Devon,9.0,6.0,6.0,10.0,4.0,107678.0,102707.0,133690.0,164296.0,97090.0,35.0,605461.0
East Hampshire,5.0,2.0,7.0,4.0,1.0,83050.0,28361.0,62679.0,40162.0,29620.0,19.0,243872.0
East Hertfordshire,3.0,3.0,4.0,4.0,2.0,37656.0,71223.0,165524.0,134980.0,60000.0,16.0,469383.0
East Lindsey,2.0,1.0,,4.0,,15947.0,13850.0,,72264.0,,7.0,102061.0
East Northamptonshire,,2.0,,,,,113000.0,,,,2.0,113000.0
East Renfrewshire,,1.0,,,,,15000.0,,,,1.0,15000.0
East Riding of Yorkshire,10.0,14.0,4.0,8.0,3.0,214853.0,273350.0,46950.0,94771.0,145813.0,39.0,775737.0
East Staffordshire,1.0,1.0,,,,15000.0,15000.0,,,,2.0,30000.0
East Suffolk,13.0,23.0,20.0,23.0,9.0,263837.0,557119.0,254947.0,507768.0,198030.0,88.0,1781701.0
Eastbourne,7.0,4.0,6.0,11.0,4.0,82573.0,51619.0,171453.0,181472.0,190677.0,32.0,677794.0
Eastleigh,4.0,5.0,2.0,7.0,1.0,61168.0,101635.0,60439.0,191560.0,44895.0,19.0,459697.0
Eden,4.0,4.0,2.0,8.0,1.0,74132.0,58848.0,21870.0,242343.0,20000.0,19.0,417193.0
Elmbridge,9.0,7.0,4.0,5.0,,88658.0,162363.0,100960.0,65074.0,,25.0,417055.0
Enfield,14.0,26.0,11.0,20.0,4.0,255282.0,513240.0,167002.0,537809.0,81082.0,75.0,1554415.0
Epping Forest,2.0,5.0,2.0,1.0,,23355.0,69564.0,23650.0,100000.0,,10.0,216569.0
Epsom and Ewell,9.0,7.0,6.0,6.0,,140599.0,111865.0,89980.0,133371.0,,28.0,475815.0
Erewash,,2.0,1.0,3.0,,,29936.0,14565.0,94771.0,,6.0,139272.0
Exeter,22.0,36.0,13.0,32.0,7.0,394189.0,672550.0,281513.0,1001439.0,240631.0,110.0,2590322.0
Fareham,3.0,3.0,3.0,2.0,,29024.0,28699.0,39364.0,23874.0,,11.0,120961.0
Fenland,1.0,2.0,1.0,3.0,1.0,7000.0,22200.0,6000.0,62016.0,29000.0,8.0,126216.0
Fermanagh and Omagh,,1.0,,,,,6750.0,,,,1.0,6750.0
Fife,1.0,,,,,14979.0,,,,,1.0,14979.0
Folkestone and Hythe,18.0,21.0,11.0,22.0,3.0,817987.0,440317.0,233224.0,474757.0,72548.0,75.0,2038833.0
Forest of Dean,3.0,4.0,2.0,4.0,,50824.0,37967.0,58490.0,56739.0,,13.0,204020.0
Fylde,3.0,2.0,1.0,4.0,,43653.0,29140.0,7515.0,81600.0,,10.0,161908.0
Gateshead,25.0,23.0,2.0,18.0,3.0,423544.0,405936.0,23375.0,404084.0,130033.0,71.0,1386972.0
Gedling,10.0,11.0,2.0,4.0,1.0,112483.0,138056.0,45315.0,93972.0,17650.0,28.0,407476.0
Germany,,1.0,,,,,9810.0,,,,1.0,9810.0
Glasgow City,7.0,1.0,1.0,4.0,1.0,91445.0,16200.0,9358.0,95825.0,14686.0,14.0,227514.0
Gloucester,5.0,6.0,4.0,9.0,1.0,88695.0,240531.0,202327.0,357362.0,29500.0,25.0,918415.0
Gosport,2.0,5.0,2.0,1.0,2.0,101030.0,66794.0,17135.0,14995.0,39056.0,12.0,239010.0
Gravesham,1.0,3.0,,2.0,2.0,5211.0,38316.0,,29500.0,44250.0,8.0,117277.0
Great Yarmouth,7.0,6.0,2.0,3.0,2.0,79982.0,111591.0,29800.0,33480.0,33850.0,20.0,288703.0
Greenwich,24.0,29.0,16.0,28.0,7.0,1693232.0,516864.0,282240.0,527652.0,517919.0,104.0,3537907.0
Guildford,7.0,9.0,2.0,4.0,2.0,94819.0,122395.0,29922.0,74474.0,50104.0,24.0,371714.0
Hackney,145.0,161.0,82.0,118.0,36.0,2235783.0,2410263.0,1334161.0,3179856.0,1140162.0,542.0,10300225.0
Halton,1.0,4.0,3.0,1.0,,5875.0,37774.0,184720.0,15000.0,,9.0,243369.0
Hambleton,4.0,5.0,1.0,2.0,3.0,96610.0,127307.0,14860.0,40248.0,56310.0,15.0,335335.0
Hammersmith and Fulham,24.0,20.0,11.0,25.0,8.0,356241.0,295718.0,159743.0,442786.0,142499.0,88.0,1396987.0
Harborough,1.0,4.0,2.0,4.0,,14800.0,70567.0,29759.0,81359.0,,11.0,196485.0
Haringey,78.0,84.0,47.0,66.0,19.0,1003273.0,1145571.0,748036.0,1509891.0,474514.0,294.0,4881285.0
Harlow,2.0,3.0,1.0,4.0,4.0,63871.0,69745.0,15000.0,64081.0,183965.0,14.0,396662.0
Harrogate,7.0,8.0,3.0,7.0,1.0,162233.0,146370.0,44348.0,149689.0,16327.0,26.0,518967.0
Harrow,6.0,7.0,7.0,10.0,4.0,47615.0,253686.0,92120.0,220717.0,208257.0,34.0,822395.0
Hart,,1.0,1.0,,,,6000.0,75820.0,,,2.0,81820.0
Hartlepool,6.0,3.0,4.0,4.0,2.0,99185.0,64466.0,66050.0,85981.0,77000.0,19.0,392682.0
Hastings,24.0,38.0,15.0,33.0,7.0,445124.0,746101.0,291690.0,1271702.0,247932.0,117.0,3002549.0
Havant,,3.0,,2.0,,,60620.0,,26948.0,,5.0,87568.0
Havering,8.0,10.0,5.0,7.0,,115111.0,153837.0,59869.0,87701.0,,30.0,416518.0
"Herefordshire, County of",9.0,17.0,4.0,15.0,6.0,676518.0,599684.0,120020.0,507480.0,271456.0,51.0,2175158.0
Hertsmere,,1.0,4.0,4.0,3.0,,9000.0,30895.0,59395.0,89117.0,12.0,188407.0
High Peak,7.0,7.0,3.0,6.0,3.0,194679.0,224826.0,100201.0,148610.0,53175.0,26.0,721491.0
Highland,,1.0,,,,,14800.0,,,,1.0,14800.0
Hillingdon,5.0,5.0,3.0,4.0,6.0,46352.0,52217.0,39715.0,80458.0,92838.0,23.0,311580.0
Hinckley and Bosworth,1.0,1.0,1.0,2.0,,14049.0,14889.0,14387.0,114986.0,,5.0,158311.0
Horsham,5.0,8.0,1.0,4.0,,60019.0,96167.0,16519.0,50281.0,,18.0,222986.0
Hounslow,9.0,15.0,3.0,6.0,2.0,109532.0,296201.0,59860.0,73444.0,67317.0,35.0,606354.0
Huntingdonshire,5.0,3.0,3.0,4.0,3.0,63393.0,42107.0,39550.0,53484.0,54690.0,18.0,253224.0
Hyndburn,1.0,1.0,2.0,1.0,,8284.0,15000.0,25734.0,15000.0,,5.0,64018.0
Ipswich,15.0,17.0,7.0,16.0,2.0,301408.0,375787.0,105596.0,563922.0,61299.0,57.0,1408012.0
Ireland,,2.0,,,,,36283.0,,,,2.0,36283.0
Isle of Wight,8.0,14.0,4.0,12.0,5.0,96071.0,442569.0,47562.0,315783.0,170729.0,43.0,1072714.0
Isles of Scilly,1.0,,,1.0,,13000.0,,,90000.0,,2.0,103000.0
Islington,89.0,102.0,43.0,78.0,22.0,1262545.0,3368744.0,845755.0,1945311.0,772380.0,334.0,8194735.0
Italy,,1.0,,,,,4725.0,,,,1.0,4725.0
Kensington and Chelsea,38.0,31.0,12.0,15.0,8.0,536290.0,390112.0,180398.0,242149.0,177046.0,104.0,1525995.0
Kettering,1.0,2.0,,,,13105.0,16749.0,,,,3.0,29854.0
King's Lynn and West Norfolk,5.0,4.0,,1.0,,95591.0,103959.0,,15500.0,,10.0,215050.0
"Kingston upon Hull, City of",22.0,28.0,14.0,24.0,6.0,1047006.0,768705.0,558058.0,953743.0,156990.0,94.0,3484502.0
Kingston upon Thames,9.0,15.0,8.0,14.0,4.0,140620.0,297377.0,181848.0,464022.0,239775.0,50.0,1323642.0
Kirklees,23.0,25.0,22.0,34.0,9.0,435066.0,501974.0,347751.0,932877.0,307924.0,113.0,2525592.0
Knowsley,5.0,5.0,1.0,2.0,2.0,162569.0,140789.0,49957.0,273701.0,115385.0,15.0,742401.0
Lambeth,96.0,105.0,54.0,79.0,21.0,1580535.0,1942063.0,2026783.0,3059758.0,1633234.0,355.0,10242373.0
Lancaster,23.0,16.0,9.0,18.0,7.0,475739.0,339862.0,128029.0,386630.0,280046.0,73.0,1610306.0
Leeds,92.0,97.0,46.0,91.0,29.0,2147451.0,2195194.0,1029324.0,2418792.0,1134961.0,355.0,8925722.0
Leicester,52.0,46.0,34.0,41.0,6.0,871247.0,1020673.0,616590.0,1661159.0,123094.0,179.0,4292763.0
Lewes,20.0,20.0,12.0,17.0,5.0,414207.0,393981.0,202422.0,282577.0,134279.0,74.0,1427466.0
Lewisham,73.0,107.0,59.0,88.0,13.0,1158825.0,2716916.0,972945.0,2095546.0,371997.0,340.0,7316229.0
Lichfield,1.0,6.0,4.0,2.0,1.0,13671.0,138119.0,49561.0,22274.0,14855.0,14.0,238480.0
Lincoln,20.0,9.0,6.0,8.0,2.0,315782.0,331889.0,85341.0,128912.0,58146.0,45.0,920070.0
Liverpool,56.0,57.0,39.0,53.0,18.0,950728.0,952698.0,568349.0,1224184.0,503612.0,223.0,4199571.0
Luton,20.0,16.0,12.0,19.0,5.0,278497.0,365328.0,163267.0,325921.0,116098.0,72.0,1249111.0
Maidstone,7.0,9.0,4.0,4.0,2.0,186166.0,149978.0,43768.0,61960.0,114289.0,26.0,556161.0
Maldon,3.0,1.0,,1.0,,97004.0,49897.0,,29219.0,,5.0,176120.0
Malvern Hills,3.0,6.0,2.0,3.0,1.0,81928.0,76739.0,22032.0,89680.0,30000.0,15.0,300379.0
Manchester,141.0,142.0,86.0,112.0,39.0,2670139.0,3327274.0,1658246.0,3121424.0,1152709.0,520.0,11929792.0
Mansfield,1.0,1.0,1.0,1.0,1.0,14457.0,59270.0,14644.0,52928.0,40910.0,5.0,182209.0
Medway,11.0,10.0,7.0,13.0,9.0,194136.0,198295.0,130068.0,448118.0,398151.0,50.0,1368768.0
Melton,,1.0,,1.0,1.0,,14565.0,,14775.0,26200.0,3.0,55540.0
Mendip,18.0,17.0,7.0,20.0,1.0,246259.0,303961.0,88448.0,308477.0,19956.0,63.0,967101.0
Merton,16.0,19.0,11.0,13.0,7.0,166841.0,405143.0,125041.0,220954.0,100064.0,66.0,1018043.0
Mid Devon,6.0,2.0,3.0,3.0,3.0,81813.0,21614.0,31950.0,92652.0,47388.0,17.0,275417.0
Mid Suffolk,3.0,5.0,6.0,5.0,1.0,42653.0,61085.0,139240.0,214485.0,24550.0,20.0,482013.0
Mid Sussex,4.0,7.0,5.0,5.0,2.0,132458.0,84431.0,87375.0,88062.0,49665.0,23.0,441991.0
Middlesbrough,8.0,6.0,1.0,12.0,3.0,189670.0,88515.0,6090.0,394960.0,106770.0,30.0,786005.0
Milton Keynes,9.0,11.0,5.0,10.0,4.0,217029.0,338703.0,112966.0,290264.0,112432.0,39.0,1071394.0
Mole Valley,2.0,1.0,,1.0,1.0,53000.0,11533.0,,15000.0,29712.0,5.0,109245.0
Monmouthshire,,1.0,,2.0,,,14986.0,,3500.0,,3.0,18486.0
Moray,,1.0,,,,,14994.0,,,,1.0,14994.0
New Forest,8.0,10.0,6.0,4.0,1.0,196036.0,132510.0,196405.0,90558.0,16905.0,29.0,632414.0
Newark and Sherwood,3.0,1.0,2.0,3.0,1.0,180000.0,15000.0,29895.0,48974.0,22024.0,10.0,295893.0
Newcastle upon Tyne,65.0,85.0,42.0,69.0,16.0,1702208.0,1560159.0,630349.0,1866272.0,555091.0,277.0,6314079.0
Newcastle-under-Lyme,3.0,9.0,2.0,5.0,,105047.0,192744.0,61767.0,154218.0,,19.0,513776.0
Newham,24.0,36.0,25.0,23.0,15.0,329728.0,552847.0,405910.0,564878.0,430378.0,123.0,2283741.0
Newport,1.0,1.0,,,,14900.0,14913.0,,,,2.0,29813.0
North Devon,4.0,2.0,4.0,6.0,6.0,57000.0,20190.0,47319.0,395342.0,143947.0,22.0,663798.0
North East Derbyshire,1.0,3.0,1.0,2.0,1.0,4480.0,33650.0,14524.0,26662.0,13500.0,8.0,92816.0
North East Lincolnshire,9.0,5.0,3.0,4.0,5.0,217875.0,102263.0,43465.0,135521.0,214855.0,26.0,713979.0
North Hertfordshire,2.0,5.0,7.0,6.0,3.0,16783.0,60919.0,83477.0,249434.0,72640.0,23.0,483253.0
North Kesteven,9.0,7.0,4.0,5.0,2.0,169067.0,477168.0,129409.0,150977.0,39586.0,27.0,966207.0
North Lincolnshire,5.0,9.0,,5.0,,108326.0,108833.0,,131410.0,,19.0,348569.0
North Norfolk,2.0,5.0,4.0,8.0,2.0,21557.0,92984.0,49406.0,115504.0,19353.0,21.0,298804.0
North Northamptonshire,,,,6.0,2.0,,,,142635.0,129500.0,8.0,272135.0
North Somerset,9.0,15.0,10.0,14.0,5.0,150817.0,402090.0,193880.0,401884.0,158781.0,53.0,1307452.0
North Tyneside,15.0,13.0,10.0,12.0,5.0,191147.0,217157.0,128074.0,242102.0,129440.0,55.0,907920.0
North Warwickshire,,1.0,1.0,,,,14850.0,14956.0,,,2.0,29806.0
North West Leicestershire,8.0,5.0,4.0,4.0,2.0,208966.0,118934.0,96649.0,49359.0,51914.0,23.0,525822.0
Northampton,10.0,9.0,4.0,,,124263.0,439744.0,74915.0,,,23.0,638922.0
Northumberland,20.0,22.0,13.0,22.0,6.0,428753.0,478216.0,333135.0,672560.0,125992.0,83.0,2038656.0
Norwich,38.0,61.0,29.0,38.0,10.0,562415.0,1638124.0,509745.0,1155792.0,283166.0,176.0,4149242.0
Nottingham,51.0,55.0,35.0,48.0,11.0,743269.0,1089429.0,624387.0,1457097.0,265586.0,200.0,4179768.0
Nuneaton and Bedworth,3.0,4.0,2.0,1.0,,78935.0,93095.0,25870.0,23325.0,,10.0,221225.0
Oadby and Wigston,2.0,1.0,,2.0,1.0,29977.0,15000.0,,113055.0,30000.0,6.0,188032.0
Oldham,11.0,7.0,1.0,6.0,1.0,414550.0,95744.0,14573.0,110581.0,22086.0,26.0,657534.0
Orkney Islands,,1.0,,,,,13394.0,,,,1.0,13394.0
Overseas,7.0,,,,,83969.0,,,,,7.0,83969.0
Oxford,34.0,36.0,25.0,33.0,5.0,570961.0,786167.0,398273.0,792274.0,127479.0,133.0,2675154.0
Pendle,1.0,2.0,1.0,1.0,1.0,4820.0,23900.0,13115.0,36464.0,19950.0,6.0,98249.0
Peterborough,10.0,9.0,5.0,7.0,5.0,311766.0,220587.0,60075.0,420990.0,183270.0,36.0,1196688.0
Plymouth,19.0,24.0,9.0,17.0,6.0,1052655.0,1182424.0,158782.0,449305.0,133800.0,75.0,2976966.0
Portsmouth,10.0,9.0,6.0,13.0,6.0,129179.0,90721.0,162786.0,427341.0,172183.0,44.0,982210.0
Powys,,,,2.0,1.0,,,,35000.0,10563.0,3.0,45563.0
Preston,9.0,17.0,6.0,9.0,,168183.0,376209.0,67487.0,328924.0,,41.0,940803.0
Reading,11.0,18.0,15.0,18.0,7.0,142009.0,324894.0,218940.0,266711.0,184481.0,69.0,1137035.0
Redbridge,13.0,13.0,7.0,13.0,3.0,161741.0,255386.0,161399.0,228983.0,60079.0,49.0,867588.0
Redcar and Cleveland,4.0,8.0,3.0,12.0,3.0,82731.0,169430.0,65535.0,595171.0,155026.0,30.0,1067893.0
Redditch,1.0,2.0,,1.0,1.0,14845.0,30943.0,,48468.0,45423.0,5.0,139679.0
Reigate and Banstead,3.0,2.0,,4.0,,38727.0,28387.0,,42212.0,,9.0,109326.0
Rhondda Cynon Taf,,2.0,1.0,,,,29955.0,5100.0,,,3.0,35055.0
Ribble Valley,2.0,5.0,1.0,3.0,1.0,36510.0,60835.0,14660.0,36780.0,18975.0,12.0,167760.0
Richmond upon Thames,14.0,15.0,9.0,12.0,7.0,217479.0,210958.0,91668.0,198911.0,140658.0,57.0,859674.0
Richmondshire,1.0,2.0,2.0,1.0,,38290.0,42369.0,20632.0,43614.0,,6.0,144905.0
Rochdale,7.0,9.0,4.0,10.0,3.0,64957.0,115797.0,158303.0,220113.0,88082.0,33.0,647252.0
Rochford,1.0,2.0,1.0,4.0,,14900.0,20175.0,14526.0,73900.0,,8.0,123501.0
Rossendale,5.0,2.0,2.0,3.0,,51789.0,18879.0,22803.0,89100.0,,12.0,182571.0
Rother,3.0,3.0,1.0,10.0,5.0,37333.0,40529.0,12400.0,208763.0,101244.0,22.0,400269.0
Rotherham,6.0,3.0,3.0,4.0,4.0,105374.0,129938.0,67938.0,217679.0,245358.0,20.0,766287.0
Rugby,3.0,3.0,2.0,1.0,2.0,37196.0,35113.0,59749.0,20110.0,24659.0,11.0,176827.0
Runnymede,,2.0,,,1.0,,54569.0,,,26694.0,3.0,81263.0
Rushcliffe,8.0,13.0,5.0,6.0,5.0,89908.0,301479.0,71755.0,156164.0,130784.0,37.0,750090.0
Rushmoor,4.0,1.0,2.0,1.0,1.0,49975.0,14997.0,29055.0,28900.0,29988.0,9.0,152915.0
Rutland,2.0,2.0,1.0,,,14358.0,22577.0,5450.0,,,5.0,42385.0
Ryedale,5.0,3.0,3.0,6.0,1.0,62924.0,143941.0,26795.0,153925.0,20468.0,18.0,408053.0
Salford,22.0,22.0,14.0,33.0,8.0,401921.0,541736.0,249077.0,931020.0,430589.0,99.0,2554343.0
Sandwell,16.0,19.0,7.0,17.0,3.0,309108.0,413627.0,192850.0,657359.0,67335.0,62.0,1640279.0
Scarborough,6.0,8.0,3.0,8.0,,109380.0,165263.0,35068.0,274558.0,,25.0,584269.0
Sedgemoor,3.0,2.0,2.0,3.0,2.0,59568.0,48023.0,21385.0,68441.0,45797.0,12.0,243214.0
Sefton,7.0,9.0,6.0,6.0,3.0,70854.0,206192.0,94205.0,122230.0,97969.0,31.0,591450.0
