News Date,News Headline,Contact Name,Outlet Name,Outlet Type,Audience Reach,UV*,Tone,Medium,Custom Tags,News Company Mentions
2020-08-26,Plans the citys landmark of culture begin to take shape ,,The yorkshire evening post ,,23055.0,,,Print ,Local,
2020-09-06,"Don't let progress on diversity in the theatre be lost, say directors ",,Yorkshire post culture ,,21801.0,,,Print,,
2020-09-11,People: Andrew Jackson Solicitors; Leeds 2023; Chamber International; and more,,Business desk ,,,,,Online ,,
2020-09-14,leeds 23 supports get it dne ,,leeds living ,,,,,Online ,local,
2020-09-21,"In Conversation With Abigail Scott Paul, Director Of External Relations, Leeds 2023.",,leeds living ,,,,,Online ,,
2020-09-25,Creative city ,,Yorkshire post ,,21801.0,,,Print ,Regional,
2020-10-19,northern asain powerlist 2020 winners kully t ,,businessdesk,,,,,Online ,,
2020-10-22,We invest in Culture because it makes a real and postive difference to a place,,Yorkshire post business,,21801.0,,,Print ,,
2020-10-29,Creative ecology call for region ,,Yorkshire Post Northern Conference supplement ,,21801.0,,,Print ,,
2020-12-06,,,Look North Yorkshire x3,,,,,Broadcast/online ,,
2020-12-29,Memorial Sculpture for David Oluwale,,Yorkshire post ,,21801.0,,,Print,Regional,
2020-12-29,Sculpture will honor the tragic life of david,,Yorkshire evening post,,23055.0,,,Print,Local,
2021-01-05,Release of dystopian leeds film with couple who went from molotovs to marriage ,,Yorkshire post ,,,,,Online ,,
2021-01-06,leeds 23 launches community driven programme ,,museum association,,,,,Online ,,
2021-01-06,how culture can change lives in Leeds and Bradford - Darren Henley ,,Yorkshire post ,,,,,Online ,,
2021-01-11,How Culture can play a part in climate  goals,,Yorkshire Evening Post ,,23055.0,,,Print,Local,
2021-01-11,How Culture can play a part in climate  goals,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-02-09,,,Yorkshire Post,,21817.0,,,Print,Regional,
2021-02-10,,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-02-16,how street art is blossoming in lockdown with a message of hope ,,itv news,,,,,Broadcat ,national ,
2021-03-01,"Why everyday culture matters so much - Ruth Pitt, Leeds 2023",,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-03-01,"Hello Leeds: Turning the page to help shape our city's story - Laura Collins, YEP Editor",,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-03-01,How DAZL is opening up a world of new opportunities,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-03-01,Hello Leeds: How you can help to tell our city's remarkable stories,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-03-01,DAZL dance group set to celebrate 21st birthday by turning former community centre in Middleton into professional studio,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-03-02,Arts project giving a voice to the community in east Leeds,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-03-02,The Chapel FM arts organisation in east Leeds is literally giving a voice to its young people and communities ,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-03-03,Leeds drama group helping to bring generations together,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-03-03,Kully Thiarai Leeds 2023 CEO,,Yorkshire evening post ,,23055.0,,,Print ,Local,
2021-03-03,Leeds drama group Generation Squad offers 'incredible experience' of creating stories,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-03-03,https://www.leeds-live.co.uk/best-in-leeds/whats-on-news/scrapping-leeds-christmas-lights-switch-19966368 ,,Leeds live ,,,,,Online ,,
2021-03-03,https://www.thetelegraphandargus.co.uk/news/19133287.decision-cancel-leeds-christmas-light-events-save-cash-criticised/ ,,bradford telegraph and angus ,,,,,Online ,,
2021-03-03,Cancelling leeds christmas light switch on is ridiculous claims councillor ,,Yorkshire evening post ,,,,,Online ,,
2021-03-09,A theatre company's take-over of Holbeck WMC is key to culture for the local community,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-03-09,Theatre company's role in delivering 'best cultural life',,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-03-16,An escape for carers behind lens,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-03-16,Leeds carers find creative escape thanks to Holbeck arts organisation Skippko,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-03-23,Creating a cultural calm for corporate communities in Leeds though classical Indian dance,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-03-23,Minoti creating calm through classical Indian dance sessions,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-03-29,Q&A The artist on fostering hope why he doesn’t wanta retorspective and making work inspired by picasso's african art collection,,The observer ,,139851.0,,,Print ,,
2021-03-30,Historic mill now showcasing the city's artists of the future,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-03-30,Historic Sunny Bank Mill is showcasing the artists and creative makers of the future in the heart of Farsley,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-04-05,"Children will tell us how to get it right as we strive for normality - Ruth Pitt, Leeds 2023",,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-04-05,How can we help young rediscover play?,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-04-06,Capturing a snapshot of volunteers,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-04-06,Harehills lamppost poems celebrate Manbassadors mental health volunteers,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-04-09,Assessing the impact that Leeds' year of culture can have in 2023,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-04-09,Assessing the impact that Leeds' year of culture can have in 2023,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-04-09,Making a splash with canals moving stage ,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-04-09,Leeds Liverpool canal set to be the stage for a series of floating plays about the heritage and community behind city waterways,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-04-10,Leeds 2023 will display the city's ambition and culture to the world - Ruth Mackenzie,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-04-10,The Leeds charity spreading music across the city,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-04-10,The Leeds charity spreading music across the city,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-04-23,Leeds Mind project Inkwell Arts hopes to reopen Chapel Allerton base as outreach work begins,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-04-23,Inkwell team pulls together to look to a brighter future,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-04-24,Leeds 2023 provides perfect playground for connecting culture with tech',,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-04-27,'Leeds 2023 provides perfect playground for connecting culture with tech',,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-04-30,Brave Words being spoken by city's disadvantaged children through establishment of new youth theatre programmes,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-04-30,Brave words speaking to childre across Leeds,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-05-01,This is a chance to listen to people and hear first-hand what they need',,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-05-01,Yinka Shobibare to create leeds memorial for nigeriuan killed by police in 1960s ,,guradian ,,,,,Online ,,
2021-05-03,Time is here to dip a toe back into cultural life,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-05-03,"Get dressed up Leeds, we're going out - Ruthh Pitt, Leeds 2023",,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-05-07,Drawings on a postcard please - The Tetley gallery in Leeds is searching for your 'Superhero',,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-05-07,Entries on a postcard' for Tetley exhibition,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-05-08,How organisation is supporting schools to be creative for pupils this summer,,Yorkshire Evening Post ,,23055.0,,,Print,Local,
2021-05-09,Northern School of Contemporary Dance principal Sharon Watson on the importance of culture in education,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-05-14,Variety is the spice of life in Bramley as residents tune in to an online showcase of local talent,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-05-14,,,leeds news daily ,,,,,,,
2021-05-14,114m boost expected from leeds 23 report ,,insider,,,,,Online ,,
2021-05-14,Variety is the spice of life in Bramley,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-05-15,Celebrating the impact of cuisnine on Leeds' culture with Indie Food Week,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-05-21,Leeds Playhouse to tour family-friendly theatre show across Leeds neighbourhoods,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-05-21,Show for all the family to tour city,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-05-22,How charity is helping community retain a sense of ownership with ideas,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-05-25,We're letting culture loose (Front cover) ,,Yorkshire evening post ,,23055.0,,,Print ,Local ,
2021-05-25,armly park sculpture marks area's industrial hertitage as leeds 23 launches ,,west leeds dispatch ,,,,,Online ,local ,
2021-05-25,,,Richard stead breakfast show,,,,,,,
2021-05-25,Leeds 2023 to help create 'powerhouse of culture' across North of England as Corinne Bailey Rae and Kaiser Chiefs’ Simon Rix announced as patron,,Yorkshire post ,,,,,Online ,Regional,
2021-05-25,Leeds is ready for it's time in the limelight ,,Yorkshire evening post ,,,,,Online ,,
2021-05-26,design inspiration the best projects from may ,,design week ,,,,,,,
2021-05-27,leeds 23 promises to let culture loose ,,south leeds life ,,,,,Online ,,
2021-05-28,Why we are 'Letting Culture Loose' in bid to unlock potential across Leeds,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-05-28,Crafters assembled… and they've just clicked,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-05-29,Crafters team up with fine art specialists to create one-off sculpture to celebrate LEEDS 2023,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-05-31,leeds 23 points to how arts bodies and councils can together redefine culture ,,the stage ,,,,,Online ,,
2021-06-04,Photography project brings back art of coversation,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-06-04,Street photography project in inner city Leeds brings back the aer of conversation,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-06-05,Revealing the city's hidden cultural stories will be key to 'letting culture loose',,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-06-07,"Slap on the sunscreen and soak up some culture in the great outdoors - Ruth Pitt, Leeds 2023",,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-06-07,"Spend Leeds 2023 cultural events money on keeping care homes open instead, say opposition councillors",,Yorkshire evening post ,,,,,Online,,
2021-06-09,Recognising Importance of dance and culture ,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-06-11,New hub opens as a lifeline for community,,Yorkshire Evening Post ,,23055.0,,,Print,Local,
2021-06-11,Pulling back curtain after 16 long months ,,Yorkshire Evening Post ,,23055.0,,,Print,Local,
2021-06-11,Special relationship shared between Bradford and Leeds,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-06-11,Theatre uses arts to bring together our community,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-06-11,Special relationship shared between Bradford and Leeds,,Yorkshire Evening Post ,,23055.0,,,Print,Local,
2021-06-11,Mafwa Theatre: Using theatre to bring diverse communities ogether in Leeds this Refugee Week,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-06-14,Leeds 2023 city of culture unviels new visual identity,,Creative review ,,,,,Online,,
2021-06-15,Peter+Pauls identity for leeds' year of culture is all about ,,Creative Boom,,,,,Online ,,
2021-06-16,heres why you should try to include leeds in your inteniory if you plan to be in uk next year or one after thar ,,outlook traveller ,,,,,Online ,international ,
2021-06-16,Leeds Reimagines itself as 2023 uk city of culture,,Outlook India ,,,,,Online,,
2021-06-25,Harewood House is flying the flag for enjoying the great outdoors and taking time for well-being,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-06-25,Harewood House flying the flag for the great outdoors,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-06-26,New project aims to get city's creative juices flowing by transporting culture,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-06-28,,,Yorkshireeveningpost,,302040.0,,,Online,Local,
2021-07-02,Shopping to the beat of city's young musicians,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-07-02,Young Leeds musicians showcase original work to crowds on Briggate in Black Health Initiative project aimed at tackling mental health issues during pandemic ,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-07-03,"How you can help transform the stage into a relaxed, family-friendly atmosphere",,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-07-05,,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-07-05,Leeds 2023 chairperson Ruth Pitt: 'We don’t have to be stuck with the same habits as we get older',,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-07-05,,,Yorkshire Evening Post enews,,,,,Online,Online,
2021-07-08,,,Yorkshireeveningpost.co.uk,,302040.0,,,,Online,
2021-07-08,,,Yorkshire Evening Post,,23055.0,,,,Local,
2021-07-09,A Leeds performance company is breathing older life into new productions,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-07-10,,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-07-17,Familiar faces on posters across Leeds as 2023 lets culture loose,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-07-17,Fantasy trail bringing comic books to life,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-07-18,Meet the acclaimed artist behind a fantasy comic art trail taking over Leeds this summer,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-07-19,Kay Mellor claims leeds is in her blood as she becomes a patron of year long festival of arts anc ulture in the city ,,Yorkshirepost ,,,,,Online,,
2021-07-20,the 25 uk city of culture could be in town a region or virtual county ,,daily telegrapph ,,,,,Online ,,
2021-07-21,"Testament, Manjit's Kitchen and Leeds Rhinos netball feature in Leeds 2023 poster campaign",,Yorkshireeveningpost.co.uk,,302040.0,,,Print,Online,
2021-07-24,Leeds 2023: New project tapping into creativity of school children,,Yorkshireeveningpost.co.uk,,302040.0,,,Online ,Online,
2021-07-24,Tapping into the creativity of our children to shape future of city,,Yorkshire Evening Post,,23055.0,,,Print ,Local,
2021-07-24,Opera Festival set to take over city scene,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-07-25,Leeds Opera Festival returns to a stage near you in a bid to change myths about who opera is for,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-07-31,,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-08-01,Art Camp UK: How this 'magical' summer art camp is helping Leeds children to follow their dreams,,Yorkshireeveningpost.co.uk,,302040.0,,,,Online,
2021-08-01,"Anothony Clavane, every Friday ",,Yorkshire Post,,21801.0,,,,Regional,
2021-08-01,Yinka Shobibare to create sculpture in memory of David Oluwale for leeds 2023,,Museums Association,,,,,Online ,,
2021-08-02,New members of creative team,,Businessdesk.co.uk,,228780,,POS,Online,Regional,
2021-08-02,Column - Jamie Jones Buchanan,,Yorkshire Evening Post,,302040,,POS,Online,Local,
2021-08-02,Column - Jamie Jones Buchanan,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-08-03,Column - Jamie Jones Buchanan,,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-08-05,Networking event,,Businessdesk.co.uk,,228780,,NEU,Online,Regional,
2021-08-07,Hello Leeds - Cllr Pryor,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-08-07,Hello Leeds - Cllr Pryor,,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-08-07,Column - Local business engagement,,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-08-07,Excitement Building For a Year of Culture,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-08-07,Harnessing culture to help local businesses shine across the city,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-08-07,Column - Local business engagement,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-08-09,London needs to work with cities around the country for economic recovery,,cityam.com,,2000000,,POS,Online,National,
2021-08-10,Kully Thiarai - comment on WY cultural economy,,Yorkshire Post,,21801,,POS,Print,Regional,
2021-08-10,Kully Thiarai - comment on WY cultural economy,,Yorkshirepost.co.uk,,567120,,POS,Online,Regional,
2021-08-14,Hello Leeds - Northern Ballet,,Yorkshireeveningpost.co.uk,,302040,,NEU,Online,Local,
2021-08-14,LEEDS 2023: How to watch The Promise of a Garden at Leeds Playhouse,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-08-14,Ongoing Ballet Boss: 'The show must go on',,Yorkshire Evening Post ,,23055.0,,,Print,Local,
2021-08-14,Column - Promise of a garden,,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-08-14,Ongoing Ballet Boss: 'The show must go on',,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2021-08-14,Hello Leeds - Northern Ballet,,Yorkshire Evening Post,,23055,,NEU,Print,Local,
2021-08-14,Column - Promise of a garden,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-08-14,How Project has Planted a Seed that can help Culture to Bloom,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-08-21,Column - Sanchez on Carnival,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-08-21,Column - Sanchez on Carnival,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-08-21,Hello Leeds - ESA,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-08-21,Hello Leeds - ESA,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-08-21,,,Yorkshireeveningpost.co.uk,,302055.0,,,Online ,Online,
2021-08-21,Gearing up to celebrate carnival virtually for second year running ,,Yorkshire Evening Post ,,23055.0,,,Print ,Local,
2021-08-21,Gearing up to celebrate carnival virtually for second year running ,,Yorkshire Evening Post ,,302055.0,,,Online,Local,
2021-08-21,,,Yorkshire Evening Post ,,23055.0,,,Print ,Local,
2021-08-28,Hello Leeds - Mickelfield craft group,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-08-28,Craft group in Micklefield is playing its part in tackling isolation and calls for new members as meetings re-start,,Yorkshire Evening Post ,,23055.0,,,Print,Local,
2021-08-28,Hello Leeds - Mickelfield craft group,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-08-28,Lifeline Community Group Set for Re-Start,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-08-29,LEEDS 2023: New Leeds Cultural Education Partnership to 'inspire our young people',,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-08-29,Column - Briony Thomas appt,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-08-29,Column - Briony Thomas appt,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-08-29,Cultural education partnership 'aims to inspire our young people',,Yorkshire Evening Post ,,23055.0,,,Print,Local,
2021-09-04,Hello Leeds - Aire Rivers Trust,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-09-04,Hello Leeds - Aire Rivers Trust,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-09-04,Column - Sharon Watson,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-09-04,Column - Anna,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-09-04,Column - Anna,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-09-05,tracy brabin becomes west yorkshire mayor ,,tbuisness desk ,,,,,Online ,,
2021-09-06,Column - Sharon Watson,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-09-10,LEEDS 2023: Hidden gems to be on show at Light Night Leeds 2021,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-09-10,LEEDS 2023: Hidden gems to be on show at Light Night Leeds 2021,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-09-10,,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-09-11,"Column - Matt Allen, role of tech",,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-09-11,"Column - Matt Allen, role of tech",,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-09-11,Hello Leeds - Age Proud Festival,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-09-11,Hello Leeds - Age Proud Festival,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-09-18,Column - Heritage Open Days,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-09-18,Column - Heritage Open Days,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-09-18,Hello Leeds - Morley Arts Fest,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-09-18,Hello Leeds - Morley Arts Fest,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-09-18,Heritage open days allows us to embrace our city's rich culture ,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-09-18,LEEDS 2023: A House Through Time helps putting heritage in focus,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-09-18,Town's arts festival returns for 16th year ,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-09-19,Morley Arts Festival set to return for 2021 with a re-brand and a re-think to make it more accessible for local community,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-09-25,"Column - Niv, Students shaping culture",,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-09-25,Hello Leeds - Leeds playwright,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-09-25,Hello Leeds - Leeds playwright,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-09-25,Playwrites script inspired by tragedy,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-09-25,How student voices contribute to changing face of culture in Leeds,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-09-26,"Column - Niv, Students shaping culture",,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-09-26,LEEDS 2023: How university students in Leeds can help shape culture,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-09-26,Meet the Leeds playwright whose scripts are inspired by real-life tragedies,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-10-02,"Column - Mark, LEEDS 2023 club",,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-10-02,Hello Leeds - Music House,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-10-04,Hello Leeds - Music House,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-10-04,"Column - Monthly, Ruth Mackenzie, Olympics",,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-10-04,"Column - Monthly, Ruth Mackenzie, Olympics",,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-10-05,brabin becomes first elected mayor of west yorkshire ,,insider,,,,,Online ,,
2021-10-08,LEEDS 2023 club,,businessmondays.co.uk,,4800,,POS,Online,trade,
2021-10-08,LEEDS 2023 club,,Businessdesk.co.uk,,228780,,POS,Online,trade,
2021-10-09,"Column - Kate, Light Night",,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local ,
2021-10-09,"Column - Kate, Light Night",,Yorkshire Evening Post,,23055,,POS,Print,Local ,
2021-10-09,Hello Leeds - Transform call out,,Yorkshire Evening Post,,23055,,POS,Print,Local ,
2021-10-10,Hello Leeds - Transform call out,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local ,
2021-10-10,,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-10-11,LEEDS 2023 club,,topicuk.co.uk,,,,NEU,Online,Regional,
2021-10-11,LEEDS 2023 club,,businessupnorth.co.uk,,302040,,NEU,Online,Regional,
2021-10-11,LEEDS 2023 club,,Yorkshire Post,,21801,,NEU,Print,Regional,
2021-10-14,My World My City My Neighbourhood artist announcement ,,South Leeds Life,,5280,,POS,Online,Local,
2021-10-14,My World My City My Neighbourhood artist announcement ,,West Leeds Dispatch,,1140,,POS,Online,Local,
2021-10-16,The importance of Leeds 2023 will be what comes after the year of cultural celebration says executive director,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-10-16,The importance of Leeds 2023 will be what comes after the year of cultural celebration says executive director,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-10-16,"Mark Hollander interview, Leeds 2023 legacy",,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-10-16,"Column - Lee Brennan, My World My City My Neighbourhood",,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-10-16,"Mark Hollander interview, Leeds 2023 legacy",,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-10-17,"Column - Lee Brennan, My World My City My Neighbourhood",,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-10-17,LEEDS 2023: New project launched with 20 artists from Bramley to Chapeltown,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-10-17,LEEDS 2023: New project launched with 20 artists from Bramley to Chapeltown,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-10-23,Culture isn't just for the middle classes,,Yorkshire Post,,23055,,POS,Print,Regional,
