news_date,news_headline,outlet_name,audience_reach,uv,tone,medium,outlet_type,custom_tags,news_company_mentions,hash
2022-09-24,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity,BBC News Online,0.0,24207801,POS,Online,"Online, consumer",National,Leeds 2023; The Awakening,15363438166650371159
2022-09-24,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity,CRWE World,0.0,24972,POS,Online,"Online, consumer",International,Leeds 2023,13230450129823450348
2022-09-24,Leeds 2023 pening show to kick off at headingley stadium,Yorkshire Evening Post,36512.0,,NEU,Newspaper,"Newspaper, community",Local,Leeds 2023,2808152340664250448
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 19:06:24.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,,17477572606730886729
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 19:30:00.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,,4969656244033212088
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 19:35:02.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,4688979802761522639
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 19:43:30.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,13729835902307252081
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 19:55:48.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,5530176616379904241
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 20:08:31.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,9361166441034242676
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 20:13:35.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,2038840172756443223
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 20:15:30.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,7583970122226510537
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 20:20:32.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,1863641349787519179
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 20:27:56.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023; The Awakening,9396297850523578215
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 21:13:37.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023; The Awakening,14656496808931115281
2022-09-24,Radio clip from BBC Leeds at 2022-09-23 21:19:30.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,9067906190373411460
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 06:04:41.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds City of Culture,2444776486320841643
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 06:10:32.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds City of Culture,10072036223826146743
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 06:15:31.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023; Leeds Year Of Culture,5831193977957352769
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 07:27:56.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds Year Of Culture,17064381801978944124
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 07:35:03.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,16056952191498224835
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 07:47:51.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,12976276594588608806
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 07:51:31.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,10148575838459940798
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 07:56:32.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,4407888314195616973
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 09:39:48.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,13798468707986076428
2022-09-24,Radio clip from BBC Leeds at 2022-09-24 09:44:49.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023; Leeds Year Of Culture,13304106850026358554
2022-09-24,Rupaul's Drag Race UK,BBC One Yorkshire,824001.0,,NEU,Broadcast,Television station,Regional,Leeds 2023; The Awakening,11101191595747684513
2022-09-24,Spectacle of epic art and perfromance is promised for city,"Yorkshire Post - North Yorks edition, The",40746.0,,POS,Newspaper,Newspaper,Regional,,9850767806320422902
2022-09-24,Stars to launch city's year of culture,Yorkshire Evening Post,36512.0,,NEU,Newspaper,"Newspaper, community",Local,,424379428784215176
2022-09-25,Header Carousel Section Archives,South Leeds Life,0.0,1687,NEU,Online,"Online, consumer",Local,Leeds 2023,2597541585117552945
2022-09-25,Radio clip from BBC Humberside at 2022-09-25 17:36:36.000,BBC Radio Humberside,61000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,6689908495856236858
2022-09-25,Radio clip from BBC Humberside at 2022-09-25 17:41:37.000,BBC Radio Humberside,61000.0,,NEU,Broadcast,Radio station,Regional,,7224578041023870968
2022-09-25,Radio clip from BBC Leeds at 2022-09-25 09:48:37.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,6172209800473591769
2022-09-25,Radio clip from BBC Leeds at 2022-09-25 10:30:01.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,9312266827075266126
2022-09-25,Radio clip from BBC Leeds at 2022-09-25 10:37:35.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,18183755822051362976
2022-09-25,Radio clip from BBC Leeds at 2022-09-25 10:47:49.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,10684095913901417275
2022-09-25,Radio clip from BBC Leeds at 2022-09-25 17:35:34.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,15179814631639876306
2022-09-25,Radio clip from BBC Leeds at 2022-09-25 17:39:37.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,14833431105291456182
2022-09-25,Radio clip from BBC Leeds at 2022-09-25 18:57:16.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,14523096473553926870
2022-09-25,Radio clip from BBC Sheffield at 2022-09-25 17:37:12.000,BBC Radio Sheffield,75000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,10192489638459986554
2022-09-25,Radio clip from BBC Sheffield at 2022-09-25 17:42:14.000,BBC Radio Sheffield,75000.0,,POS,Broadcast,Radio station,Regional,,1854479770375312907
2022-09-25,Radio clip from BBC Sheffield at 2022-09-25 18:57:02.000,BBC Radio Sheffield,75000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,1267364679261439724
2022-09-25,Radio clip from BBC York at 2022-09-25 17:27:27.000,BBC Radio York,28000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,4543973778763480341
2022-09-25,Radio clip from BBC York at 2022-09-25 17:30:03.000,BBC Radio York,28000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,16710856755199898374
2022-09-26,BBC London News,BBC One Yorkshire,824001.0,,NEU,Broadcast,Television station,Regional,Leeds City of Culture; The Awakening,12449911310713409037
2022-09-26,BBC News,BBC News Channel,505000.0,,POS,Broadcast,Television station,National; Regional,Leeds 2023,15150223590142249775
2022-09-26,BBC News,BBC Two,2638000.0,,POS,Broadcast,Television station,,Leeds 2023,12919634649633361610
2022-09-26,BBC News,BBC Two Wales,572001.0,,NEU,Broadcast,Television station,National,Leeds 2023,4457073813806184452
2022-09-26,BBC News at One,BBC 1 Oxford,229000.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,3153665625341472143
2022-09-26,BBC News at One,BBC Cymru Wales,1145001.0,,NEU,Broadcast,Television station,,Leeds 2023,10522639842533034374
2022-09-26,BBC News at One,BBC London,5001000.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,16858398883053932580
2022-09-26,BBC News at One,BBC London,0.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,16858398883053932580
2022-09-26,BBC News at One,BBC News Channel,505000.0,,NEU,Broadcast,Television station,National; Regional,Leeds 2023,3056103834755339769
2022-09-26,BBC News at One,BBC Northern Ireland,687000.0,,NEU,Broadcast,Television station,,Leeds 2023,9667664923397649149
2022-09-26,BBC News at One,BBC One Channel Islands,0.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,11264766411887835209
2022-09-26,BBC News at One,BBC One East,412000.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,11856423338501228194
2022-09-26,BBC News at One,BBC One East Midlands,687000.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,15406099455690405042
2022-09-26,BBC News at One,BBC One North East & Cumbria,802000.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,7392341108956876711
2022-09-26,BBC News at One,BBC One North West,916001.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,2226280539909742941
2022-09-26,BBC News at One,BBC One South,687000.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,14695934978282750224
2022-09-26,BBC News at One,BBC One South East,916001.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,1719789856847981901
2022-09-26,BBC News at One,BBC One South West,458000.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,393502131367124941
2022-09-26,BBC News at One,BBC One West,687000.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,13669452526777236986
2022-09-26,BBC News at One,BBC One Yorks & Lincs,870001.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,9310912415300899812
2022-09-26,BBC News at One,BBC One Yorkshire,824001.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,8911038509680363014
2022-09-26,BBC News at One,BBC Scotland,1833000.0,,NEU,Broadcast,Television station,National,Leeds 2023,7580245722681061507
2022-09-26,BBC News at One,BBC West Midlands,458000.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,10841233530534743645
2022-09-26,BBC News at One,BBC1 Cambridge,0.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,8380126385765768092
2022-09-26,Breakfast,BBC 1 Oxford,229000.0,,POS,Broadcast,Television station,Regional,Leeds 2023,17073968564072099530
2022-09-26,Breakfast,BBC 1 Oxford,229000.0,,POS,Broadcast,Television station,Regional,Leeds 2023,17073968564072099530
2022-09-26,Breakfast,BBC Cymru Wales,1145001.0,,NEU,Broadcast,Television station,,Leeds 2023,5319355142303187155
2022-09-26,Breakfast,BBC Cymru Wales,1145001.0,,POS,Broadcast,Television station,,Leeds 2023,5319355142303187155
2022-09-26,Breakfast,BBC London,0.0,,POS,Broadcast,Television station,Regional,Leeds 2023,2070807099759694581
2022-09-26,Breakfast,BBC London,5001000.0,,POS,Broadcast,Television station,Regional,Leeds 2023,2070807099759694581
2022-09-26,Breakfast,BBC London,0.0,,POS,Broadcast,Television station,Regional,Leeds 2023,2070807099759694581
2022-09-26,Breakfast,BBC London,5001000.0,,POS,Broadcast,Television station,Regional,Leeds 2023,2070807099759694581
2022-09-26,Breakfast,BBC News Channel,505000.0,,POS,Broadcast,Television station,National; Regional,Leeds 2023,6255614990827096992
2022-09-26,Breakfast,BBC News Channel,505000.0,,POS,Broadcast,Television station,National; Regional,Leeds 2023,6255614990827096992
2022-09-26,Breakfast,BBC Northern Ireland,687000.0,,NEU,Broadcast,Television station,,Leeds 2023,6447379801422753628
2022-09-26,Breakfast,BBC Northern Ireland,687000.0,,POS,Broadcast,Television station,,Leeds 2023,6447379801422753628
2022-09-26,Breakfast,BBC One Channel Islands,0.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,1254871981220417680
2022-09-26,Breakfast,BBC One Channel Islands,0.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,1254871981220417680
2022-09-26,Breakfast,BBC One East,412000.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,12335465932708250167
2022-09-26,Breakfast,BBC One East,412000.0,,POS,Broadcast,Television station,Regional,Leeds 2023,12335465932708250167
2022-09-26,Breakfast,BBC One East Midlands,687000.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,6747761731129681639
2022-09-26,Breakfast,BBC One East Midlands,687000.0,,POS,Broadcast,Television station,Regional,Leeds 2023,6747761731129681639
2022-09-26,Breakfast,BBC One North East & Cumbria,802000.0,,POS,Broadcast,Television station,Regional,Leeds 2023,15526059446779432306
2022-09-26,Breakfast,BBC One North East & Cumbria,802000.0,,POS,Broadcast,Television station,Regional,Leeds 2023,15526059446779432306
2022-09-26,Breakfast,BBC One North West,916001.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,3353147826528371132
2022-09-26,Breakfast,BBC One North West,916001.0,,POS,Broadcast,Television station,Regional,Leeds 2023,3353147826528371132
2022-09-26,Breakfast,BBC One South,687000.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,11112588748306866121
2022-09-26,Breakfast,BBC One South,687000.0,,POS,Broadcast,Television station,Regional,Leeds 2023,11112588748306866121
2022-09-26,Breakfast,BBC One South East,916001.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,10430422322013951756
2022-09-26,Breakfast,BBC One South East,916001.0,,POS,Broadcast,Television station,Regional,Leeds 2023,10430422322013951756
2022-09-26,Breakfast,BBC One South West,458000.0,,POS,Broadcast,Television station,Regional,Leeds 2023,16074472597609626764
2022-09-26,Breakfast,BBC One South West,458000.0,,POS,Broadcast,Television station,Regional,Leeds 2023,16074472597609626764
2022-09-26,Breakfast,BBC One West,687000.0,,POS,Broadcast,Television station,Regional,Leeds 2023,17096766126178847839
2022-09-26,Breakfast,BBC One West,687000.0,,POS,Broadcast,Television station,Regional,Leeds 2023,17096766126178847839
2022-09-26,Breakfast,BBC One Yorks & Lincs,870001.0,,NEU,Broadcast,Television station,Regional,Leeds City of Culture; The Awakening,2441617970740774837
2022-09-26,Breakfast,BBC One Yorks & Lincs,870001.0,,NEU,Broadcast,Television station,Regional,Leeds 2023,2441617970740774837
2022-09-26,Breakfast,BBC One Yorks & Lincs,870001.0,,NEU,Broadcast,Television station,Regional,Leeds City of Culture; The Awakening,2441617970740774837
2022-09-26,Breakfast,BBC One Yorks & Lincs,870001.0,,POS,Broadcast,Television station,Regional,Leeds 2023,2441617970740774837
2022-09-26,Breakfast,BBC One Yorks & Lincs,870001.0,,NEU,Broadcast,Television station,Regional,Leeds City of Culture; The Awakening,2441617970740774837
2022-09-26,Breakfast,BBC One Yorkshire,824001.0,,NEU,Broadcast,Television station,Regional,Leeds City of Culture; The Awakening,1279910339443678291
2022-09-26,Breakfast,BBC One Yorkshire,824001.0,,POS,Broadcast,Television station,Regional,Leeds 2023,1279910339443678291
2022-09-26,Breakfast,BBC One Yorkshire,824001.0,,NEU,Broadcast,Television station,Regional,Leeds City of Culture; The Awakening,1279910339443678291
2022-09-26,Breakfast,BBC One Yorkshire,824001.0,,POS,Broadcast,Television station,Regional,Leeds 2023,1279910339443678291
2022-09-26,Breakfast,BBC One Yorkshire,824001.0,,NEU,Broadcast,Television station,Regional,Leeds City of Culture,1279910339443678291
2022-09-26,Breakfast,BBC Scotland,1833000.0,,POS,Broadcast,Television station,National,Leeds 2023,10251809315175569878
2022-09-26,Breakfast,BBC Scotland,1833000.0,,POS,Broadcast,Television station,National,Leeds 2023,10251809315175569878
2022-09-26,Breakfast,BBC West Midlands,458000.0,,POS,Broadcast,Television station,Regional,Leeds 2023,11379911471194853052
2022-09-26,Breakfast,BBC West Midlands,458000.0,,POS,Broadcast,Television station,Regional,Leeds 2023,11379911471194853052
2022-09-26,Breakfast,BBC1 Cambridge,0.0,,POS,Broadcast,Television station,Regional,Leeds 2023,13155480434294652733
2022-09-26,Breakfast,BBC1 Cambridge,0.0,,POS,Broadcast,Television station,Regional,Leeds 2023,13155480434294652733
2022-09-26,Details revealed on Leeds 2023 programme,Insider Media,0.0,91697,POS,Online,"Online, trade/industry",Regional,Leeds 2023; The Awakening,1948598681073551994
2022-09-26,Newsletter,Insider Daily (Yorkshire) Newsletter,0.0,,NEU,Newspaper,Newspaper,Regional,Leeds 2023,7458444204271789711
2022-09-26,Radio clip from BBC Leeds at 2022-09-25 19:06:59.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,2356497228139833369
2022-09-26,Radio clip from BBC Leeds at 2022-09-25 19:17:03.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,10103603186936587071
2022-09-26,Radio clip from BBC Leeds at 2022-09-25 19:22:06.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,8972971989461469191
