ward_code,authors_abroad,become_a_barn_raiser,become_a_wowser,dancers_of_leeds,early_career_music_promoters,gill_crawshaw_commission,guardians_of_leeds_creative_collab,leeds_on_wheels,leeds_young_film,lift_the_lid,meet_leeds_lab,nyt_playhouse_acting_course,off_the_curriculum,youth_fund,responses,barn_plus_wow_responses
E05001708,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05003355,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05008559,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,7
E05008560,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05008561,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1
E05009070,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E05009124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E05009348,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E05009673,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05009687,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05010044,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05010052,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E05010058,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05010059,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E05010062,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05010164,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E05010229,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05010313,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E05010316,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05010319,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05010322,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05010323,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
E05010741,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05010860,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05010862,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05010880,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05011309,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E05011314,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E05011316,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05011323,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1
E05011333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
E05011334,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05011336,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05011342,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05011345,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05011346,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05011347,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1
E05011357,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E05011384,0,9,1,0,0,0,0,0,0,6,0,1,1,0,18,10
E05011385,1,22,1,0,1,0,0,2,0,2,0,5,3,0,37,23
E05011387,1,16,0,1,1,0,0,2,1,1,0,0,0,1,24,16
E05011388,3,4,0,0,1,0,0,0,0,1,0,0,0,3,12,4
E05011389,0,15,0,2,0,0,0,1,0,1,0,2,0,0,21,15
E05011390,2,39,0,1,0,3,0,3,0,14,0,5,0,2,69,39
E05011391,0,3,0,0,0,0,0,0,1,2,0,0,0,0,6,3
E05011394,0,7,1,0,1,0,0,1,0,6,0,1,0,0,17,8
E05011395,1,5,0,0,0,0,0,0,0,5,0,0,0,0,11,5
E05011396,0,4,0,0,0,0,0,0,0,0,0,1,1,0,6,4
E05011397,1,61,0,4,14,0,0,0,0,39,0,4,0,1,124,61
E05011399,1,11,0,0,2,0,0,0,0,5,0,2,1,0,22,11
E05011400,1,5,1,1,0,1,0,1,0,1,0,2,0,0,13,6
E05011401,0,5,0,0,0,0,0,0,0,0,0,0,1,0,6,5
E05011402,0,36,0,1,1,3,0,1,0,10,0,1,0,0,53,36
E05011403,0,31,0,1,22,2,0,1,0,37,0,9,2,0,105,31
E05011404,2,7,0,1,0,1,0,0,3,8,0,0,0,1,23,7
E05011405,1,27,0,0,1,1,0,1,0,3,0,0,0,0,34,27
E05011406,0,11,1,0,1,0,0,0,0,6,0,0,0,0,19,12
E05011407,1,6,0,1,0,3,0,0,0,4,0,0,0,0,15,6
E05011409,1,6,1,0,0,0,0,3,0,5,0,0,0,0,16,7
E05011410,1,11,0,0,0,0,0,1,0,0,0,1,0,0,14,11
E05011411,1,27,0,1,0,1,0,1,0,1,0,0,2,0,34,27
E05011413,2,24,0,0,1,0,0,1,0,7,0,1,2,0,38,24
E05011414,0,5,0,1,0,0,0,0,0,0,0,1,0,0,7,5
E05011504,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
E05011529,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
E05011547,1,11,0,0,0,0,0,0,0,4,0,0,0,0,16,11
E05011549,0,9,0,1,0,2,0,0,0,0,0,0,0,1,13,9
E05012647,1,15,0,0,0,1,0,2,0,3,0,0,0,2,24,15
E05012648,0,7,0,1,0,0,0,3,0,4,0,0,1,0,16,7
E05012841,1,7,0,0,0,0,0,0,0,2,0,1,1,0,12,7
E05012842,2,8,0,1,0,0,0,0,0,1,0,0,1,1,14,8
E05012843,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E05013373,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E05013503,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E05013830,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E05013831,1,4,1,0,1,1,0,0,0,2,0,2,1,0,13,5
E05014041,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
UNKNOWN,0,14,2,17,3,2,5,1,1,13,34,3,1,0,96,16
